comentario,nota,responsavel,comentario_normalizado
"As notificações chegaram atrasadas. O carregamento dos relatórios demorou. Tentei atualizar cadastro e performance travou duas vezes. Consegui atualizar cadastro, mas depois apareceu erro em dashboard. Precisei repetir algumas etapas para concluir. performance demorou para responder.",8,Suporte,as notificacoes chegaram atrasadas o carregamento dos relatorios demorou tentei atualizar cadastro e performance travou duas vezes consegui atualizar cadastro mas depois apareceu erro em dashboard precisei repetir algumas etapas para concluir performance demorou para responder
"O atendimento resolveu rápido a solicitação. O suporte pediu novamente as mesmas informações. Consegui emitir boleto, mas depois apareceu erro em API.",1,Suporte,o atendimento resolveu rapido a solicitacao o suporte pediu novamente as mesmas informacoes consegui emitir boleto mas depois apareceu erro em api
O suporte pediu novamente as mesmas informações. O carregamento dos relatórios demorou.,2,Suporte,o suporte pediu novamente as mesmas informacoes o carregamento dos relatorios demorou
"Tentei consultar limite e dashboard travou duas vezes. Consegui consultar limite, mas depois apareceu erro em performance. probelma vcs demoro",3,Geral,tentei consultar limite e dashboard travou duas vezes consegui consultar limite mas depois apareceu erro em performance probelma vcs demoro
O suporte pediu novamente as mesmas informações. Tentei emitir boleto e usabilidade travou duas vezes.,9,Produto,o suporte pediu novamente as mesmas informacoes tentei emitir boleto e usabilidade travou duas vezes
Precisei repetir algumas etapas para concluir. Depois da atualização notificações ficou mais simples.,7,Suporte,precisei repetir algumas etapas para concluir depois da atualizacao notificacoes ficou mais simples
O atendimento resolveu rápido a solicitação. Tentei consultar limite e dashboard travou duas vezes. O suporte pediu novamente as mesmas informações. ploblema travano platafroma,0,Produto,o atendimento resolveu rapido a solicitacao tentei consultar limite e dashboard travou duas vezes o suporte pediu novamente as mesmas informacoes ploblema travano platafroma
"Consegui emitir boleto, mas depois apareceu erro em login. Depois da atualização usabilidade ficou mais simples. naum msg",5,Geral,consegui emitir boleto mas depois apareceu erro em login depois da atualizacao usabilidade ficou mais simples naum msg
"Tentei baixar relatório e API travou duas vezes. Depois da atualização API ficou mais simples. API demorou para responder. As notificações chegaram atrasadas. Consegui baixar relatório, mas depois apareceu erro em relatórios. O suporte pediu novamente as mesmas informações.",0,Serviços,tentei baixar relatorio e api travou duas vezes depois da atualizacao api ficou mais simples api demorou para responder as notificacoes chegaram atrasadas consegui baixar relatorio mas depois apareceu erro em relatorios o suporte pediu novamente as mesmas informacoes
O carregamento dos relatórios demorou. Precisei repetir algumas etapas para concluir. platafroma msg travano,7,Serviços,o carregamento dos relatorios demorou precisei repetir algumas etapas para concluir platafroma msg travano
Depois da atualização integração ficou mais simples. Precisei repetir algumas etapas para concluir. Recebi erro enquanto tentava consultar limite. O suporte pediu novamente as mesmas informações. probelma qdo,10,Geral,depois da atualizacao integracao ficou mais simples precisei repetir algumas etapas para concluir recebi erro enquanto tentava consultar limite o suporte pediu novamente as mesmas informacoes probelma qdo
O carregamento dos relatórios demorou. Tentei fazer transferência e dashboard travou duas vezes. O atendimento resolveu rápido a solicitação. As notificações chegaram atrasadas. qdo bugou msg,6,Produto,o carregamento dos relatorios demorou tentei fazer transferencia e dashboard travou duas vezes o atendimento resolveu rapido a solicitacao as notificacoes chegaram atrasadas qdo bugou msg
As notificações chegaram atrasadas. notificações demorou para responder. O carregamento dos relatórios demorou.,10,Serviços,as notificacoes chegaram atrasadas notificacoes demorou para responder o carregamento dos relatorios demorou
Tudo certo.,9,Suporte,tudo certo
"Depois da atualização onboarding ficou mais simples. Tentei atualizar cadastro e onboarding travou duas vezes. As notificações chegaram atrasadas. Precisei repetir algumas etapas para concluir. Consegui atualizar cadastro, mas depois apareceu erro em limite.",6,Serviços,depois da atualizacao onboarding ficou mais simples tentei atualizar cadastro e onboarding travou duas vezes as notificacoes chegaram atrasadas precisei repetir algumas etapas para concluir consegui atualizar cadastro mas depois apareceu erro em limite
Recebi erro enquanto tentava integrar sistema. O atendimento resolveu rápido a solicitação. Tentei integrar sistema e dashboard travou duas vezes.,6,Produto,recebi erro enquanto tentava integrar sistema o atendimento resolveu rapido a solicitacao tentei integrar sistema e dashboard travou duas vezes
"Tentei consultar saldo e cartão virtual travou duas vezes. Consegui consultar saldo, mas depois apareceu erro em dashboard. O carregamento dos relatórios demorou. cartão virtual demorou para responder. Precisei repetir algumas etapas para concluir.",4,Geral,tentei consultar saldo e cartao virtual travou duas vezes consegui consultar saldo mas depois apareceu erro em dashboard o carregamento dos relatorios demorou cartao virtual demorou para responder precisei repetir algumas etapas para concluir
"Consegui fazer transferência, mas depois apareceu erro em integração. Recebi erro enquanto tentava fazer transferência. Precisei repetir algumas etapas para concluir. O suporte pediu novamente as mesmas informações. ploblema naum vcs",10,Pós-venda,consegui fazer transferencia mas depois apareceu erro em integracao recebi erro enquanto tentava fazer transferencia precisei repetir algumas etapas para concluir o suporte pediu novamente as mesmas informacoes ploblema naum vcs
Recebi erro enquanto tentava consultar limite. Tentei consultar limite e dashboard travou duas vezes. O atendimento resolveu rápido a solicitação. As notificações chegaram atrasadas. Precisei repetir algumas etapas para concluir. O carregamento dos relatórios demorou. vcs sitema,0,Suporte,recebi erro enquanto tentava consultar limite tentei consultar limite e dashboard travou duas vezes o atendimento resolveu rapido a solicitacao as notificacoes chegaram atrasadas precisei repetir algumas etapas para concluir o carregamento dos relatorios demorou vcs sitema
"As notificações chegaram atrasadas. Consegui consultar limite, mas depois apareceu erro em relatórios. O carregamento dos relatórios demorou. O atendimento resolveu rápido a solicitação.",5,Produto,as notificacoes chegaram atrasadas consegui consultar limite mas depois apareceu erro em relatorios o carregamento dos relatorios demorou o atendimento resolveu rapido a solicitacao
O atendimento resolveu rápido a solicitação. Tentei emitir boleto e relatórios travou duas vezes.,5,Serviços,o atendimento resolveu rapido a solicitacao tentei emitir boleto e relatorios travou duas vezes
"O carregamento dos relatórios demorou. As notificações chegaram atrasadas. Recebi erro enquanto tentava fazer transferência. cartão virtual demorou para responder. Consegui fazer transferência, mas depois apareceu erro em pagamentos. atendimnto vcs",4,Geral,o carregamento dos relatorios demorou as notificacoes chegaram atrasadas recebi erro enquanto tentava fazer transferencia cartao virtual demorou para responder consegui fazer transferencia mas depois apareceu erro em pagamentos atendimnto vcs
"usabilidade demorou para responder. Consegui integrar sistema, mas depois apareceu erro em limite.",1,Suporte,usabilidade demorou para responder consegui integrar sistema mas depois apareceu erro em limite
As notificações chegaram atrasadas. Tentei atualizar cadastro e extrato travou duas vezes. Depois da atualização extrato ficou mais simples. sitema qdo msg,7,Serviços,as notificacoes chegaram atrasadas tentei atualizar cadastro e extrato travou duas vezes depois da atualizacao extrato ficou mais simples sitema qdo msg
As notificações chegaram atrasadas. Depois da atualização performance ficou mais simples. O carregamento dos relatórios demorou. Recebi erro enquanto tentava integrar sistema. platafroma,4,Suporte,as notificacoes chegaram atrasadas depois da atualizacao performance ficou mais simples o carregamento dos relatorios demorou recebi erro enquanto tentava integrar sistema platafroma
O atendimento resolveu rápido a solicitação. As notificações chegaram atrasadas.,7,Suporte,o atendimento resolveu rapido a solicitacao as notificacoes chegaram atrasadas
"Tentei acompanhar pagamento e cadastro travou duas vezes. Consegui acompanhar pagamento, mas depois apareceu erro em integração. Recebi erro enquanto tentava acompanhar pagamento. O carregamento dos relatórios demorou. cadastro demorou para responder. naum",7,Serviços,tentei acompanhar pagamento e cadastro travou duas vezes consegui acompanhar pagamento mas depois apareceu erro em integracao recebi erro enquanto tentava acompanhar pagamento o carregamento dos relatorios demorou cadastro demorou para responder naum
O carregamento dos relatórios demorou. O atendimento resolveu rápido a solicitação. Depois da atualização pagamentos ficou mais simples. Precisei repetir algumas etapas para concluir. msg,2,Suporte,o carregamento dos relatorios demorou o atendimento resolveu rapido a solicitacao depois da atualizacao pagamentos ficou mais simples precisei repetir algumas etapas para concluir msg
Depois da atualização integração ficou mais simples. integração demorou para responder. O suporte pediu novamente as mesmas informações.,5,Produto,depois da atualizacao integracao ficou mais simples integracao demorou para responder o suporte pediu novamente as mesmas informacoes
login demorou para responder. Depois da atualização login ficou mais simples. Recebi erro enquanto tentava consultar limite.,6,Produto,login demorou para responder depois da atualizacao login ficou mais simples recebi erro enquanto tentava consultar limite
relatórios demorou para responder. O atendimento resolveu rápido a solicitação. Precisei repetir algumas etapas para concluir. Recebi erro enquanto tentava baixar relatório. O suporte pediu novamente as mesmas informações.,5,Serviços,relatorios demorou para responder o atendimento resolveu rapido a solicitacao precisei repetir algumas etapas para concluir recebi erro enquanto tentava baixar relatorio o suporte pediu novamente as mesmas informacoes
O carregamento dos relatórios demorou. Precisei repetir algumas etapas para concluir. As notificações chegaram atrasadas. O suporte pediu novamente as mesmas informações.,7,Produto,o carregamento dos relatorios demorou precisei repetir algumas etapas para concluir as notificacoes chegaram atrasadas o suporte pediu novamente as mesmas informacoes
O atendimento resolveu rápido a solicitação. Tentei atualizar cadastro e integração travou duas vezes.,5,Suporte,o atendimento resolveu rapido a solicitacao tentei atualizar cadastro e integracao travou duas vezes
O atendimento resolveu rápido a solicitação. Depois da atualização limite ficou mais simples.,9,Pós-venda,o atendimento resolveu rapido a solicitacao depois da atualizacao limite ficou mais simples
Depois da atualização cadastro ficou mais simples. Tentei integrar sistema e cadastro travou duas vezes. Precisei repetir algumas etapas para concluir. O suporte pediu novamente as mesmas informações. As notificações chegaram atrasadas.,0,Suporte,depois da atualizacao cadastro ficou mais simples tentei integrar sistema e cadastro travou duas vezes precisei repetir algumas etapas para concluir o suporte pediu novamente as mesmas informacoes as notificacoes chegaram atrasadas
"Tentei emitir boleto e API travou duas vezes. Consegui emitir boleto, mas depois apareceu erro em cartão virtual. O suporte pediu novamente as mesmas informações. Recebi erro enquanto tentava emitir boleto. As notificações chegaram atrasadas. O carregamento dos relatórios demorou. bugou msg",5,Produto,tentei emitir boleto e api travou duas vezes consegui emitir boleto mas depois apareceu erro em cartao virtual o suporte pediu novamente as mesmas informacoes recebi erro enquanto tentava emitir boleto as notificacoes chegaram atrasadas o carregamento dos relatorios demorou bugou msg
Depois da atualização performance ficou mais simples. Recebi erro enquanto tentava fazer transferência. O carregamento dos relatórios demorou.,3,Produto,depois da atualizacao performance ficou mais simples recebi erro enquanto tentava fazer transferencia o carregamento dos relatorios demorou
Recebi erro enquanto tentava emitir boleto. As notificações chegaram atrasadas. limite demorou para responder. Tentei emitir boleto e limite travou duas vezes. Depois da atualização limite ficou mais simples. atendimnto vcs ploblema,5,Geral,recebi erro enquanto tentava emitir boleto as notificacoes chegaram atrasadas limite demorou para responder tentei emitir boleto e limite travou duas vezes depois da atualizacao limite ficou mais simples atendimnto vcs ploblema
relatórios demorou para responder. Recebi erro enquanto tentava consultar saldo. As notificações chegaram atrasadas. O suporte pediu novamente as mesmas informações. msg bugou qdo,8,Suporte,relatorios demorou para responder recebi erro enquanto tentava consultar saldo as notificacoes chegaram atrasadas o suporte pediu novamente as mesmas informacoes msg bugou qdo
O suporte pediu novamente as mesmas informações. chat demorou para responder.,6,Geral,o suporte pediu novamente as mesmas informacoes chat demorou para responder
Mais ou menos.,1,Suporte,mais ou menos
"Recebi erro enquanto tentava consultar saldo. As notificações chegaram atrasadas. Consegui consultar saldo, mas depois apareceu erro em integração.",1,Suporte,recebi erro enquanto tentava consultar saldo as notificacoes chegaram atrasadas consegui consultar saldo mas depois apareceu erro em integracao
login demorou para responder. As notificações chegaram atrasadas. Depois da atualização login ficou mais simples. sitema demoro,5,Serviços,login demorou para responder as notificacoes chegaram atrasadas depois da atualizacao login ficou mais simples sitema demoro
"As notificações chegaram atrasadas. Consegui atualizar cadastro, mas depois apareceu erro em API. Tentei atualizar cadastro e limite travou duas vezes. O suporte pediu novamente as mesmas informações. Recebi erro enquanto tentava atualizar cadastro.",1,Suporte,as notificacoes chegaram atrasadas consegui atualizar cadastro mas depois apareceu erro em api tentei atualizar cadastro e limite travou duas vezes o suporte pediu novamente as mesmas informacoes recebi erro enquanto tentava atualizar cadastro
O atendimento resolveu rápido a solicitação. O carregamento dos relatórios demorou. Precisei repetir algumas etapas para concluir. probelma demoro bugou,6,Suporte,o atendimento resolveu rapido a solicitacao o carregamento dos relatorios demorou precisei repetir algumas etapas para concluir probelma demoro bugou
Precisei repetir algumas etapas para concluir. Recebi erro enquanto tentava emitir boleto. As notificações chegaram atrasadas. qdo ploblema demoro,2,Suporte,precisei repetir algumas etapas para concluir recebi erro enquanto tentava emitir boleto as notificacoes chegaram atrasadas qdo ploblema demoro
"As notificações chegaram atrasadas. O atendimento resolveu rápido a solicitação. cartão virtual demorou para responder. Consegui consultar limite, mas depois apareceu erro em performance. Recebi erro enquanto tentava consultar limite.",0,Geral,as notificacoes chegaram atrasadas o atendimento resolveu rapido a solicitacao cartao virtual demorou para responder consegui consultar limite mas depois apareceu erro em performance recebi erro enquanto tentava consultar limite
Depois da atualização pagamentos ficou mais simples. Tentei integrar sistema e pagamentos travou duas vezes.,3,Suporte,depois da atualizacao pagamentos ficou mais simples tentei integrar sistema e pagamentos travou duas vezes
As notificações chegaram atrasadas. Tentei baixar relatório e cartão virtual travou duas vezes. cartão virtual demorou para responder. O carregamento dos relatórios demorou.,4,Produto,as notificacoes chegaram atrasadas tentei baixar relatorio e cartao virtual travou duas vezes cartao virtual demorou para responder o carregamento dos relatorios demorou
Tentei fazer transferência e onboarding travou duas vezes. onboarding demorou para responder. O carregamento dos relatórios demorou. As notificações chegaram atrasadas. Precisei repetir algumas etapas para concluir. Depois da atualização onboarding ficou mais simples.,1,Serviços,tentei fazer transferencia e onboarding travou duas vezes onboarding demorou para responder o carregamento dos relatorios demorou as notificacoes chegaram atrasadas precisei repetir algumas etapas para concluir depois da atualizacao onboarding ficou mais simples
"Consegui consultar saldo, mas depois apareceu erro em usabilidade. pagamentos demorou para responder. O carregamento dos relatórios demorou. Depois da atualização pagamentos ficou mais simples. Recebi erro enquanto tentava consultar saldo. O atendimento resolveu rápido a solicitação. msg",3,Pós-venda,consegui consultar saldo mas depois apareceu erro em usabilidade pagamentos demorou para responder o carregamento dos relatorios demorou depois da atualizacao pagamentos ficou mais simples recebi erro enquanto tentava consultar saldo o atendimento resolveu rapido a solicitacao msg
Achei estranho.,1,Suporte,achei estranho
O suporte pediu novamente as mesmas informações. O atendimento resolveu rápido a solicitação. Tentei acompanhar pagamento e login travou duas vezes. Recebi erro enquanto tentava acompanhar pagamento.,5,Geral,o suporte pediu novamente as mesmas informacoes o atendimento resolveu rapido a solicitacao tentei acompanhar pagamento e login travou duas vezes recebi erro enquanto tentava acompanhar pagamento
"Consegui acompanhar pagamento, mas depois apareceu erro em performance. Precisei repetir algumas etapas para concluir. O carregamento dos relatórios demorou. Recebi erro enquanto tentava acompanhar pagamento. pagamentos demorou para responder. As notificações chegaram atrasadas. demoro",8,Serviços,consegui acompanhar pagamento mas depois apareceu erro em performance precisei repetir algumas etapas para concluir o carregamento dos relatorios demorou recebi erro enquanto tentava acompanhar pagamento pagamentos demorou para responder as notificacoes chegaram atrasadas demoro
login demorou para responder. O suporte pediu novamente as mesmas informações.,0,Produto,login demorou para responder o suporte pediu novamente as mesmas informacoes
Achei estranho.,9,Suporte,achei estranho
Recebi erro enquanto tentava fazer transferência. onboarding demorou para responder. sitema probelma,6,Serviços,recebi erro enquanto tentava fazer transferencia onboarding demorou para responder sitema probelma
Tentei fazer transferência e extrato travou duas vezes. As notificações chegaram atrasadas. travano vcs,7,Suporte,tentei fazer transferencia e extrato travou duas vezes as notificacoes chegaram atrasadas travano vcs
As notificações chegaram atrasadas. Depois da atualização integração ficou mais simples. Recebi erro enquanto tentava fazer transferência.,7,Produto,as notificacoes chegaram atrasadas depois da atualizacao integracao ficou mais simples recebi erro enquanto tentava fazer transferencia
Depois da atualização cartão virtual ficou mais simples. O atendimento resolveu rápido a solicitação. cartão virtual demorou para responder. O carregamento dos relatórios demorou.,5,Suporte,depois da atualizacao cartao virtual ficou mais simples o atendimento resolveu rapido a solicitacao cartao virtual demorou para responder o carregamento dos relatorios demorou
As notificações chegaram atrasadas. Recebi erro enquanto tentava consultar saldo. Depois da atualização dashboard ficou mais simples. Precisei repetir algumas etapas para concluir. O carregamento dos relatórios demorou. Tentei consultar saldo e dashboard travou duas vezes. msg travano naum,6,Serviços,as notificacoes chegaram atrasadas recebi erro enquanto tentava consultar saldo depois da atualizacao dashboard ficou mais simples precisei repetir algumas etapas para concluir o carregamento dos relatorios demorou tentei consultar saldo e dashboard travou duas vezes msg travano naum
Recebi erro enquanto tentava acompanhar pagamento. Precisei repetir algumas etapas para concluir. O atendimento resolveu rápido a solicitação.,5,Geral,recebi erro enquanto tentava acompanhar pagamento precisei repetir algumas etapas para concluir o atendimento resolveu rapido a solicitacao
Normal.,5,Geral,normal
Tentei atualizar cadastro e cadastro travou duas vezes. O carregamento dos relatórios demorou. Depois da atualização cadastro ficou mais simples.,2,Suporte,tentei atualizar cadastro e cadastro travou duas vezes o carregamento dos relatorios demorou depois da atualizacao cadastro ficou mais simples
O suporte pediu novamente as mesmas informações. limite demorou para responder. O carregamento dos relatórios demorou. Tentei fazer transferência e limite travou duas vezes.,10,Serviços,o suporte pediu novamente as mesmas informacoes limite demorou para responder o carregamento dos relatorios demorou tentei fazer transferencia e limite travou duas vezes
"cadastro demorou para responder. Tentei emitir boleto e cadastro travou duas vezes. O suporte pediu novamente as mesmas informações. As notificações chegaram atrasadas. Depois da atualização cadastro ficou mais simples. Consegui emitir boleto, mas depois apareceu erro em extrato.",4,Suporte,cadastro demorou para responder tentei emitir boleto e cadastro travou duas vezes o suporte pediu novamente as mesmas informacoes as notificacoes chegaram atrasadas depois da atualizacao cadastro ficou mais simples consegui emitir boleto mas depois apareceu erro em extrato
chat demorou para responder. O carregamento dos relatórios demorou. As notificações chegaram atrasadas. demoro qdo,10,Produto,chat demorou para responder o carregamento dos relatorios demorou as notificacoes chegaram atrasadas demoro qdo
Tentei consultar limite e cadastro travou duas vezes. O carregamento dos relatórios demorou. O atendimento resolveu rápido a solicitação. Depois da atualização cadastro ficou mais simples.,7,Suporte,tentei consultar limite e cadastro travou duas vezes o carregamento dos relatorios demorou o atendimento resolveu rapido a solicitacao depois da atualizacao cadastro ficou mais simples
"As notificações chegaram atrasadas. Depois da atualização onboarding ficou mais simples. onboarding demorou para responder. Consegui fazer transferência, mas depois apareceu erro em performance.",8,Geral,as notificacoes chegaram atrasadas depois da atualizacao onboarding ficou mais simples onboarding demorou para responder consegui fazer transferencia mas depois apareceu erro em performance
"O suporte pediu novamente as mesmas informações. Consegui fazer transferência, mas depois apareceu erro em API. O atendimento resolveu rápido a solicitação. Depois da atualização limite ficou mais simples. sitema msg naum",8,Suporte,o suporte pediu novamente as mesmas informacoes consegui fazer transferencia mas depois apareceu erro em api o atendimento resolveu rapido a solicitacao depois da atualizacao limite ficou mais simples sitema msg naum
"login demorou para responder. O atendimento resolveu rápido a solicitação. As notificações chegaram atrasadas. Recebi erro enquanto tentava emitir boleto. Precisei repetir algumas etapas para concluir. Consegui emitir boleto, mas depois apareceu erro em integração. probelma demoro",2,Suporte,login demorou para responder o atendimento resolveu rapido a solicitacao as notificacoes chegaram atrasadas recebi erro enquanto tentava emitir boleto precisei repetir algumas etapas para concluir consegui emitir boleto mas depois apareceu erro em integracao probelma demoro
"Consegui fazer transferência, mas depois apareceu erro em onboarding. O suporte pediu novamente as mesmas informações. Recebi erro enquanto tentava fazer transferência. msg demoro qdo",2,Serviços,consegui fazer transferencia mas depois apareceu erro em onboarding o suporte pediu novamente as mesmas informacoes recebi erro enquanto tentava fazer transferencia msg demoro qdo
"Tentei fazer transferência e cartão virtual travou duas vezes. cartão virtual demorou para responder. As notificações chegaram atrasadas. Consegui fazer transferência, mas depois apareceu erro em usabilidade. Precisei repetir algumas etapas para concluir. qdo demoro",9,Geral,tentei fazer transferencia e cartao virtual travou duas vezes cartao virtual demorou para responder as notificacoes chegaram atrasadas consegui fazer transferencia mas depois apareceu erro em usabilidade precisei repetir algumas etapas para concluir qdo demoro
"Tentei atualizar cadastro e limite travou duas vezes. Consegui atualizar cadastro, mas depois apareceu erro em onboarding.",3,Produto,tentei atualizar cadastro e limite travou duas vezes consegui atualizar cadastro mas depois apareceu erro em onboarding
"Precisei repetir algumas etapas para concluir. notificações demorou para responder. O carregamento dos relatórios demorou. Recebi erro enquanto tentava acompanhar pagamento. Depois da atualização notificações ficou mais simples. Consegui acompanhar pagamento, mas depois apareceu erro em extrato. probelma sitema qdo",1,Suporte,precisei repetir algumas etapas para concluir notificacoes demorou para responder o carregamento dos relatorios demorou recebi erro enquanto tentava acompanhar pagamento depois da atualizacao notificacoes ficou mais simples consegui acompanhar pagamento mas depois apareceu erro em extrato probelma sitema qdo
"Depois da atualização usabilidade ficou mais simples. Tentei fazer transferência e usabilidade travou duas vezes. O atendimento resolveu rápido a solicitação. Consegui fazer transferência, mas depois apareceu erro em relatórios. usabilidade demorou para responder.",6,Serviços,depois da atualizacao usabilidade ficou mais simples tentei fazer transferencia e usabilidade travou duas vezes o atendimento resolveu rapido a solicitacao consegui fazer transferencia mas depois apareceu erro em relatorios usabilidade demorou para responder
"As notificações chegaram atrasadas. O suporte pediu novamente as mesmas informações. Consegui consultar limite, mas depois apareceu erro em limite.",6,Pós-venda,as notificacoes chegaram atrasadas o suporte pediu novamente as mesmas informacoes consegui consultar limite mas depois apareceu erro em limite
Achei estranho.,5,Serviços,achei estranho
"cartão virtual demorou para responder. Consegui baixar relatório, mas depois apareceu erro em dashboard. Recebi erro enquanto tentava baixar relatório. Depois da atualização cartão virtual ficou mais simples. As notificações chegaram atrasadas.",2,Suporte,cartao virtual demorou para responder consegui baixar relatorio mas depois apareceu erro em dashboard recebi erro enquanto tentava baixar relatorio depois da atualizacao cartao virtual ficou mais simples as notificacoes chegaram atrasadas
As notificações chegaram atrasadas. O suporte pediu novamente as mesmas informações. bugou,10,Suporte,as notificacoes chegaram atrasadas o suporte pediu novamente as mesmas informacoes bugou
Depois da atualização onboarding ficou mais simples. onboarding demorou para responder. Precisei repetir algumas etapas para concluir.,5,Suporte,depois da atualizacao onboarding ficou mais simples onboarding demorou para responder precisei repetir algumas etapas para concluir
"Consegui consultar saldo, mas depois apareceu erro em integração. O suporte pediu novamente as mesmas informações. O carregamento dos relatórios demorou. Recebi erro enquanto tentava consultar saldo. Depois da atualização cartão virtual ficou mais simples.",8,Geral,consegui consultar saldo mas depois apareceu erro em integracao o suporte pediu novamente as mesmas informacoes o carregamento dos relatorios demorou recebi erro enquanto tentava consultar saldo depois da atualizacao cartao virtual ficou mais simples
O carregamento dos relatórios demorou. Precisei repetir algumas etapas para concluir.,6,Geral,o carregamento dos relatorios demorou precisei repetir algumas etapas para concluir
chat demorou para responder. Tentei fazer transferência e chat travou duas vezes. Precisei repetir algumas etapas para concluir. Depois da atualização chat ficou mais simples.,7,Pós-venda,chat demorou para responder tentei fazer transferencia e chat travou duas vezes precisei repetir algumas etapas para concluir depois da atualizacao chat ficou mais simples
"Consegui baixar relatório, mas depois apareceu erro em integração. O suporte pediu novamente as mesmas informações. O atendimento resolveu rápido a solicitação.",4,Produto,consegui baixar relatorio mas depois apareceu erro em integracao o suporte pediu novamente as mesmas informacoes o atendimento resolveu rapido a solicitacao
Precisei repetir algumas etapas para concluir. Tentei atualizar cadastro e cartão virtual travou duas vezes. cartão virtual demorou para responder. Depois da atualização cartão virtual ficou mais simples. As notificações chegaram atrasadas.,3,Produto,precisei repetir algumas etapas para concluir tentei atualizar cadastro e cartao virtual travou duas vezes cartao virtual demorou para responder depois da atualizacao cartao virtual ficou mais simples as notificacoes chegaram atrasadas
"Precisei repetir algumas etapas para concluir. Tentei consultar limite e integração travou duas vezes. O suporte pediu novamente as mesmas informações. O atendimento resolveu rápido a solicitação. Consegui consultar limite, mas depois apareceu erro em API. Recebi erro enquanto tentava consultar limite. bugou ploblema",3,Produto,precisei repetir algumas etapas para concluir tentei consultar limite e integracao travou duas vezes o suporte pediu novamente as mesmas informacoes o atendimento resolveu rapido a solicitacao consegui consultar limite mas depois apareceu erro em api recebi erro enquanto tentava consultar limite bugou ploblema
O carregamento dos relatórios demorou. O atendimento resolveu rápido a solicitação. Precisei repetir algumas etapas para concluir.,0,Suporte,o carregamento dos relatorios demorou o atendimento resolveu rapido a solicitacao precisei repetir algumas etapas para concluir
Regular.,2,Pós-venda,regular
"Consegui consultar saldo, mas depois apareceu erro em integração. Depois da atualização onboarding ficou mais simples. Recebi erro enquanto tentava consultar saldo. onboarding demorou para responder. O atendimento resolveu rápido a solicitação. Precisei repetir algumas etapas para concluir. travano bugou",9,Suporte,consegui consultar saldo mas depois apareceu erro em integracao depois da atualizacao onboarding ficou mais simples recebi erro enquanto tentava consultar saldo onboarding demorou para responder o atendimento resolveu rapido a solicitacao precisei repetir algumas etapas para concluir travano bugou
"Consegui atualizar cadastro, mas depois apareceu erro em relatórios. Depois da atualização limite ficou mais simples. Tentei atualizar cadastro e limite travou duas vezes. Precisei repetir algumas etapas para concluir.",1,Produto,consegui atualizar cadastro mas depois apareceu erro em relatorios depois da atualizacao limite ficou mais simples tentei atualizar cadastro e limite travou duas vezes precisei repetir algumas etapas para concluir
As notificações chegaram atrasadas. Depois da atualização onboarding ficou mais simples. onboarding demorou para responder. O atendimento resolveu rápido a solicitação.,7,Suporte,as notificacoes chegaram atrasadas depois da atualizacao onboarding ficou mais simples onboarding demorou para responder o atendimento resolveu rapido a solicitacao
O suporte pediu novamente as mesmas informações. Recebi erro enquanto tentava emitir boleto. O atendimento resolveu rápido a solicitação. As notificações chegaram atrasadas.,6,Serviços,o suporte pediu novamente as mesmas informacoes recebi erro enquanto tentava emitir boleto o atendimento resolveu rapido a solicitacao as notificacoes chegaram atrasadas
Precisei repetir algumas etapas para concluir. Recebi erro enquanto tentava baixar relatório. Tentei baixar relatório e API travou duas vezes.,0,Serviços,precisei repetir algumas etapas para concluir recebi erro enquanto tentava baixar relatorio tentei baixar relatorio e api travou duas vezes
"O suporte pediu novamente as mesmas informações. Consegui consultar limite, mas depois apareceu erro em onboarding. qdo atendimnto",0,Suporte,o suporte pediu novamente as mesmas informacoes consegui consultar limite mas depois apareceu erro em onboarding qdo atendimnto
"O carregamento dos relatórios demorou. Consegui consultar limite, mas depois apareceu erro em pagamentos. Precisei repetir algumas etapas para concluir. Tentei consultar limite e limite travou duas vezes. Depois da atualização limite ficou mais simples. O atendimento resolveu rápido a solicitação.",3,Geral,o carregamento dos relatorios demorou consegui consultar limite mas depois apareceu erro em pagamentos precisei repetir algumas etapas para concluir tentei consultar limite e limite travou duas vezes depois da atualizacao limite ficou mais simples o atendimento resolveu rapido a solicitacao
"limite demorou para responder. Precisei repetir algumas etapas para concluir. O carregamento dos relatórios demorou. Consegui emitir boleto, mas depois apareceu erro em performance. As notificações chegaram atrasadas. O atendimento resolveu rápido a solicitação.",0,Serviços,limite demorou para responder precisei repetir algumas etapas para concluir o carregamento dos relatorios demorou consegui emitir boleto mas depois apareceu erro em performance as notificacoes chegaram atrasadas o atendimento resolveu rapido a solicitacao
O carregamento dos relatórios demorou. As notificações chegaram atrasadas. O atendimento resolveu rápido a solicitação. Recebi erro enquanto tentava baixar relatório. O suporte pediu novamente as mesmas informações. integração demorou para responder.,1,Serviços,o carregamento dos relatorios demorou as notificacoes chegaram atrasadas o atendimento resolveu rapido a solicitacao recebi erro enquanto tentava baixar relatorio o suporte pediu novamente as mesmas informacoes integracao demorou para responder
O suporte pediu novamente as mesmas informações. integração demorou para responder. Depois da atualização integração ficou mais simples.,0,Geral,o suporte pediu novamente as mesmas informacoes integracao demorou para responder depois da atualizacao integracao ficou mais simples
