comentario,nota,responsavel,comentario_sem_stopwords
O carregamento dos relatórios demorou. O atendimento resolveu rápido a solicitação. Precisei repetir algumas etapas para concluir.,0,Suporte,carregamento relatorios demorou atendimento resolveu rapido solicitacao precisei repetir algumas etapas concluir
Regular.,2,Pós-venda,regular
"Consegui consultar saldo, mas depois apareceu erro em integração. Depois da atualização onboarding ficou mais simples. Recebi erro enquanto tentava consultar saldo. onboarding demorou para responder. O atendimento resolveu rápido a solicitação. Precisei repetir algumas etapas para concluir. travano bugou",9,Suporte,consegui consultar saldo apareceu erro integracao atualizacao onboarding ficou simples recebi erro enquanto tentava consultar saldo onboarding demorou responder atendimento resolveu rapido solicitacao precisei repetir algumas etapas concluir travano bugou
"Consegui atualizar cadastro, mas depois apareceu erro em relatórios. Depois da atualização limite ficou mais simples. Tentei atualizar cadastro e limite travou duas vezes. Precisei repetir algumas etapas para concluir.",1,Produto,consegui atualizar cadastro apareceu erro relatorios atualizacao limite ficou simples tentei atualizar cadastro limite travou duas vezes precisei repetir algumas etapas concluir
As notificações chegaram atrasadas. Depois da atualização onboarding ficou mais simples. onboarding demorou para responder. O atendimento resolveu rápido a solicitação.,7,Suporte,notificacoes chegaram atrasadas atualizacao onboarding ficou simples onboarding demorou responder atendimento resolveu rapido solicitacao
O suporte pediu novamente as mesmas informações. Recebi erro enquanto tentava emitir boleto. O atendimento resolveu rápido a solicitação. As notificações chegaram atrasadas.,6,Serviços,suporte pediu novamente mesmas informacoes recebi erro enquanto tentava emitir boleto atendimento resolveu rapido solicitacao notificacoes chegaram atrasadas
Precisei repetir algumas etapas para concluir. Recebi erro enquanto tentava baixar relatório. Tentei baixar relatório e API travou duas vezes.,0,Serviços,precisei repetir algumas etapas concluir recebi erro enquanto tentava baixar relatorio tentei baixar relatorio api travou duas vezes
"O suporte pediu novamente as mesmas informações. Consegui consultar limite, mas depois apareceu erro em onboarding. qdo atendimnto",0,Suporte,suporte pediu novamente mesmas informacoes consegui consultar limite apareceu erro onboarding qdo atendimnto
"O carregamento dos relatórios demorou. Consegui consultar limite, mas depois apareceu erro em pagamentos. Precisei repetir algumas etapas para concluir. Tentei consultar limite e limite travou duas vezes. Depois da atualização limite ficou mais simples. O atendimento resolveu rápido a solicitação.",3,Geral,carregamento relatorios demorou consegui consultar limite apareceu erro pagamentos precisei repetir algumas etapas concluir tentei consultar limite limite travou duas vezes atualizacao limite ficou simples atendimento resolveu rapido solicitacao
"limite demorou para responder. Precisei repetir algumas etapas para concluir. O carregamento dos relatórios demorou. Consegui emitir boleto, mas depois apareceu erro em performance. As notificações chegaram atrasadas. O atendimento resolveu rápido a solicitação.",0,Serviços,limite demorou responder precisei repetir algumas etapas concluir carregamento relatorios demorou consegui emitir boleto apareceu erro performance notificacoes chegaram atrasadas atendimento resolveu rapido solicitacao
O carregamento dos relatórios demorou. As notificações chegaram atrasadas. O atendimento resolveu rápido a solicitação. Recebi erro enquanto tentava baixar relatório. O suporte pediu novamente as mesmas informações. integração demorou para responder.,1,Serviços,carregamento relatorios demorou notificacoes chegaram atrasadas atendimento resolveu rapido solicitacao recebi erro enquanto tentava baixar relatorio suporte pediu novamente mesmas informacoes integracao demorou responder
O suporte pediu novamente as mesmas informações. integração demorou para responder. Depois da atualização integração ficou mais simples.,0,Geral,suporte pediu novamente mesmas informacoes integracao demorou responder atualizacao integracao ficou simples
Precisei repetir algumas etapas para concluir. cadastro demorou para responder. O carregamento dos relatórios demorou. As notificações chegaram atrasadas. qdo ploblema,5,Suporte,precisei repetir algumas etapas concluir cadastro demorou responder carregamento relatorios demorou notificacoes chegaram atrasadas qdo ploblema
"As notificações chegaram atrasadas. Depois da atualização performance ficou mais simples. Tentei emitir boleto e performance travou duas vezes. Consegui emitir boleto, mas depois apareceu erro em integração. Precisei repetir algumas etapas para concluir. Recebi erro enquanto tentava emitir boleto. vcs",8,Serviços,notificacoes chegaram atrasadas atualizacao performance ficou simples tentei emitir boleto performance travou duas vezes consegui emitir boleto apareceu erro integracao precisei repetir algumas etapas concluir recebi erro enquanto tentava emitir boleto vcs
Precisei repetir algumas etapas para concluir. cadastro demorou para responder. Recebi erro enquanto tentava baixar relatório.,2,Produto,precisei repetir algumas etapas concluir cadastro demorou responder recebi erro enquanto tentava baixar relatorio
"O atendimento resolveu rápido a solicitação. Consegui fazer transferência, mas depois apareceu erro em dashboard. O carregamento dos relatórios demorou. Depois da atualização limite ficou mais simples. Tentei fazer transferência e limite travou duas vezes.",8,Produto,atendimento resolveu rapido solicitacao consegui fazer transferencia apareceu erro dashboard carregamento relatorios demorou atualizacao limite ficou simples tentei fazer transferencia limite travou duas vezes
O suporte pediu novamente as mesmas informações. onboarding demorou para responder. As notificações chegaram atrasadas. Precisei repetir algumas etapas para concluir. O carregamento dos relatórios demorou. Recebi erro enquanto tentava atualizar cadastro. bugou demoro naum,0,Geral,suporte pediu novamente mesmas informacoes onboarding demorou responder notificacoes chegaram atrasadas precisei repetir algumas etapas concluir carregamento relatorios demorou recebi erro enquanto tentava atualizar cadastro bugou demoro naum
O suporte pediu novamente as mesmas informações. Tentei acompanhar pagamento e usabilidade travou duas vezes. Recebi erro enquanto tentava acompanhar pagamento. usabilidade demorou para responder. demoro sitema platafroma,10,Serviços,suporte pediu novamente mesmas informacoes tentei acompanhar pagamento usabilidade travou duas vezes recebi erro enquanto tentava acompanhar pagamento usabilidade demorou responder demoro sitema platafroma
"Depois da atualização dashboard ficou mais simples. Consegui integrar sistema, mas depois apareceu erro em chat. Tentei integrar sistema e dashboard travou duas vezes. dashboard demorou para responder. As notificações chegaram atrasadas. O suporte pediu novamente as mesmas informações.",6,Suporte,atualizacao dashboard ficou simples consegui integrar apareceu erro chat tentei integrar dashboard travou duas vezes dashboard demorou responder notificacoes chegaram atrasadas suporte pediu novamente mesmas informacoes
Tentei atualizar cadastro e usabilidade travou duas vezes. usabilidade demorou para responder. Recebi erro enquanto tentava atualizar cadastro.,4,Pós-venda,tentei atualizar cadastro usabilidade travou duas vezes usabilidade demorou responder recebi erro enquanto tentava atualizar cadastro
"O suporte pediu novamente as mesmas informações. Consegui consultar limite, mas depois apareceu erro em login. Recebi erro enquanto tentava consultar limite. onboarding demorou para responder. O atendimento resolveu rápido a solicitação.",6,Produto,suporte pediu novamente mesmas informacoes consegui consultar limite apareceu erro login recebi erro enquanto tentava consultar limite onboarding demorou responder atendimento resolveu rapido solicitacao
cadastro demorou para responder. O carregamento dos relatórios demorou. Recebi erro enquanto tentava atualizar cadastro. Precisei repetir algumas etapas para concluir. Tentei atualizar cadastro e cadastro travou duas vezes. Depois da atualização cadastro ficou mais simples.,0,Geral,cadastro demorou responder carregamento relatorios demorou recebi erro enquanto tentava atualizar cadastro precisei repetir algumas etapas concluir tentei atualizar cadastro cadastro travou duas vezes atualizacao cadastro ficou simples
O suporte pediu novamente as mesmas informações. Tentei fazer transferência e usabilidade travou duas vezes. Depois da atualização usabilidade ficou mais simples. O carregamento dos relatórios demorou. Recebi erro enquanto tentava fazer transferência. naum qdo bugou,1,Serviços,suporte pediu novamente mesmas informacoes tentei fazer transferencia usabilidade travou duas vezes atualizacao usabilidade ficou simples carregamento relatorios demorou recebi erro enquanto tentava fazer transferencia naum qdo bugou
As notificações chegaram atrasadas. O carregamento dos relatórios demorou. cartão virtual demorou para responder. O atendimento resolveu rápido a solicitação. Depois da atualização cartão virtual ficou mais simples. Precisei repetir algumas etapas para concluir.,1,Serviços,notificacoes chegaram atrasadas carregamento relatorios demorou cartao virtual demorou responder atendimento resolveu rapido solicitacao atualizacao cartao virtual ficou simples precisei repetir algumas etapas concluir
"O carregamento dos relatórios demorou. O atendimento resolveu rápido a solicitação. login demorou para responder. Precisei repetir algumas etapas para concluir. As notificações chegaram atrasadas. Consegui fazer transferência, mas depois apareceu erro em limite.",0,Produto,carregamento relatorios demorou atendimento resolveu rapido solicitacao login demorou responder precisei repetir algumas etapas concluir notificacoes chegaram atrasadas consegui fazer transferencia apareceu erro limite
"As notificações chegaram atrasadas. Recebi erro enquanto tentava emitir boleto. cartão virtual demorou para responder. Precisei repetir algumas etapas para concluir. Consegui emitir boleto, mas depois apareceu erro em chat. O atendimento resolveu rápido a solicitação. naum",6,Suporte,notificacoes chegaram atrasadas recebi erro enquanto tentava emitir boleto cartao virtual demorou responder precisei repetir algumas etapas concluir consegui emitir boleto apareceu erro chat atendimento resolveu rapido solicitacao naum
Tentei emitir boleto e notificações travou duas vezes. notificações demorou para responder. As notificações chegaram atrasadas. Recebi erro enquanto tentava emitir boleto. O atendimento resolveu rápido a solicitação.,2,Suporte,tentei emitir boleto notificacoes travou duas vezes notificacoes demorou responder notificacoes chegaram atrasadas recebi erro enquanto tentava emitir boleto atendimento resolveu rapido solicitacao
O suporte pediu novamente as mesmas informações. O atendimento resolveu rápido a solicitação. Depois da atualização integração ficou mais simples.,4,Suporte,suporte pediu novamente mesmas informacoes atendimento resolveu rapido solicitacao atualizacao integracao ficou simples
"pagamentos demorou para responder. O atendimento resolveu rápido a solicitação. Consegui fazer transferência, mas depois apareceu erro em integração. Depois da atualização pagamentos ficou mais simples.",0,Suporte,pagamentos demorou responder atendimento resolveu rapido solicitacao consegui fazer transferencia apareceu erro integracao atualizacao pagamentos ficou simples
limite demorou para responder. O carregamento dos relatórios demorou.,2,Serviços,limite demorou responder carregamento relatorios demorou
Precisei repetir algumas etapas para concluir. As notificações chegaram atrasadas. Depois da atualização usabilidade ficou mais simples. probelma sitema,6,Produto,precisei repetir algumas etapas concluir notificacoes chegaram atrasadas atualizacao usabilidade ficou simples probelma sitema
Achei estranho.,4,Suporte,achei estranho
"O suporte pediu novamente as mesmas informações. Tentei baixar relatório e integração travou duas vezes. Consegui baixar relatório, mas depois apareceu erro em dashboard. As notificações chegaram atrasadas.",6,Suporte,suporte pediu novamente mesmas informacoes tentei baixar relatorio integracao travou duas vezes consegui baixar relatorio apareceu erro dashboard notificacoes chegaram atrasadas
"Consegui baixar relatório, mas depois apareceu erro em extrato. O carregamento dos relatórios demorou. O atendimento resolveu rápido a solicitação. dashboard demorou para responder. Depois da atualização dashboard ficou mais simples.",8,Serviços,consegui baixar relatorio apareceu erro extrato carregamento relatorios demorou atendimento resolveu rapido solicitacao dashboard demorou responder atualizacao dashboard ficou simples
As notificações chegaram atrasadas. Depois da atualização notificações ficou mais simples. Precisei repetir algumas etapas para concluir. notificações demorou para responder. O suporte pediu novamente as mesmas informações. demoro ploblema,3,Suporte,notificacoes chegaram atrasadas atualizacao notificacoes ficou simples precisei repetir algumas etapas concluir notificacoes demorou responder suporte pediu novamente mesmas informacoes demoro ploblema
Tentei fazer transferência e onboarding travou duas vezes. O suporte pediu novamente as mesmas informações. onboarding demorou para responder.,7,Produto,tentei fazer transferencia onboarding travou duas vezes suporte pediu novamente mesmas informacoes onboarding demorou responder
As notificações chegaram atrasadas. Precisei repetir algumas etapas para concluir. demoro bugou,2,Produto,notificacoes chegaram atrasadas precisei repetir algumas etapas concluir demoro bugou
"Precisei repetir algumas etapas para concluir. O carregamento dos relatórios demorou. Consegui fazer transferência, mas depois apareceu erro em chat. Recebi erro enquanto tentava fazer transferência. cartão virtual demorou para responder. O suporte pediu novamente as mesmas informações.",3,Produto,precisei repetir algumas etapas concluir carregamento relatorios demorou consegui fazer transferencia apareceu erro chat recebi erro enquanto tentava fazer transferencia cartao virtual demorou responder suporte pediu novamente mesmas informacoes
"Precisei repetir algumas etapas para concluir. limite demorou para responder. O atendimento resolveu rápido a solicitação. As notificações chegaram atrasadas. Consegui baixar relatório, mas depois apareceu erro em performance. probelma",6,Geral,precisei repetir algumas etapas concluir limite demorou responder atendimento resolveu rapido solicitacao notificacoes chegaram atrasadas consegui baixar relatorio apareceu erro performance probelma
Regular.,2,Suporte,regular
Nada a declarar.,3,Geral,nada declarar
As notificações chegaram atrasadas. Tentei fazer transferência e chat travou duas vezes. O carregamento dos relatórios demorou. ploblema,3,Serviços,notificacoes chegaram atrasadas tentei fazer transferencia chat travou duas vezes carregamento relatorios demorou ploblema
Precisei repetir algumas etapas para concluir. Recebi erro enquanto tentava consultar limite. O suporte pediu novamente as mesmas informações.,10,Suporte,precisei repetir algumas etapas concluir recebi erro enquanto tentava consultar limite suporte pediu novamente mesmas informacoes
O suporte pediu novamente as mesmas informações. Recebi erro enquanto tentava emitir boleto. Tentei emitir boleto e performance travou duas vezes. platafroma atendimnto msg,0,Serviços,suporte pediu novamente mesmas informacoes recebi erro enquanto tentava emitir boleto tentei emitir boleto performance travou duas vezes platafroma atendimnto msg
As notificações chegaram atrasadas. O suporte pediu novamente as mesmas informações. login demorou para responder. O atendimento resolveu rápido a solicitação.,8,Geral,notificacoes chegaram atrasadas suporte pediu novamente mesmas informacoes login demorou responder atendimento resolveu rapido solicitacao
O carregamento dos relatórios demorou. login demorou para responder. qdo,2,Pós-venda,carregamento relatorios demorou login demorou responder qdo
O suporte pediu novamente as mesmas informações. O carregamento dos relatórios demorou. As notificações chegaram atrasadas. Recebi erro enquanto tentava emitir boleto. Precisei repetir algumas etapas para concluir. O atendimento resolveu rápido a solicitação.,7,Produto,suporte pediu novamente mesmas informacoes carregamento relatorios demorou notificacoes chegaram atrasadas recebi erro enquanto tentava emitir boleto precisei repetir algumas etapas concluir atendimento resolveu rapido solicitacao
"onboarding demorou para responder. Tentei consultar limite e onboarding travou duas vezes. Recebi erro enquanto tentava consultar limite. Consegui consultar limite, mas depois apareceu erro em extrato. O atendimento resolveu rápido a solicitação. Precisei repetir algumas etapas para concluir. platafroma",0,Pós-venda,onboarding demorou responder tentei consultar limite onboarding travou duas vezes recebi erro enquanto tentava consultar limite consegui consultar limite apareceu erro extrato atendimento resolveu rapido solicitacao precisei repetir algumas etapas concluir platafroma
relatórios demorou para responder. O suporte pediu novamente as mesmas informações. Tentei integrar sistema e relatórios travou duas vezes. Precisei repetir algumas etapas para concluir. Recebi erro enquanto tentava integrar sistema.,6,Serviços,relatorios demorou responder suporte pediu novamente mesmas informacoes tentei integrar relatorios travou duas vezes precisei repetir algumas etapas concluir recebi erro enquanto tentava integrar
"Consegui acompanhar pagamento, mas depois apareceu erro em extrato. Depois da atualização API ficou mais simples.",4,Suporte,consegui acompanhar pagamento apareceu erro extrato atualizacao api ficou simples
Ok.,6,Suporte,ok
"Tentei baixar relatório e API travou duas vezes. Consegui baixar relatório, mas depois apareceu erro em dashboard. As notificações chegaram atrasadas. Precisei repetir algumas etapas para concluir.",7,Produto,tentei baixar relatorio api travou duas vezes consegui baixar relatorio apareceu erro dashboard notificacoes chegaram atrasadas precisei repetir algumas etapas concluir
"Precisei repetir algumas etapas para concluir. Recebi erro enquanto tentava integrar sistema. Consegui integrar sistema, mas depois apareceu erro em performance. O suporte pediu novamente as mesmas informações. Depois da atualização API ficou mais simples. O carregamento dos relatórios demorou. probelma",2,Serviços,precisei repetir algumas etapas concluir recebi erro enquanto tentava integrar consegui integrar apareceu erro performance suporte pediu novamente mesmas informacoes atualizacao api ficou simples carregamento relatorios demorou probelma
O suporte pediu novamente as mesmas informações. O carregamento dos relatórios demorou. Tentei atualizar cadastro e onboarding travou duas vezes. As notificações chegaram atrasadas. onboarding demorou para responder.,2,Suporte,suporte pediu novamente mesmas informacoes carregamento relatorios demorou tentei atualizar cadastro onboarding travou duas vezes notificacoes chegaram atrasadas onboarding demorou responder
"Recebi erro enquanto tentava acompanhar pagamento. Tentei acompanhar pagamento e API travou duas vezes. Depois da atualização API ficou mais simples. Consegui acompanhar pagamento, mas depois apareceu erro em integração. vcs platafroma qdo",8,Suporte,recebi erro enquanto tentava acompanhar pagamento tentei acompanhar pagamento api travou duas vezes atualizacao api ficou simples consegui acompanhar pagamento apareceu erro integracao vcs platafroma qdo
extrato demorou para responder. O carregamento dos relatórios demorou. O atendimento resolveu rápido a solicitação. sitema probelma,8,Pós-venda,extrato demorou responder carregamento relatorios demorou atendimento resolveu rapido solicitacao sitema probelma
Tentei integrar sistema e dashboard travou duas vezes. O atendimento resolveu rápido a solicitação. O carregamento dos relatórios demorou. O suporte pediu novamente as mesmas informações. Depois da atualização dashboard ficou mais simples. Precisei repetir algumas etapas para concluir.,0,Pós-venda,tentei integrar dashboard travou duas vezes atendimento resolveu rapido solicitacao carregamento relatorios demorou suporte pediu novamente mesmas informacoes atualizacao dashboard ficou simples precisei repetir algumas etapas concluir
"As notificações chegaram atrasadas. O atendimento resolveu rápido a solicitação. Consegui atualizar cadastro, mas depois apareceu erro em pagamentos. O suporte pediu novamente as mesmas informações. O carregamento dos relatórios demorou. Tentei atualizar cadastro e limite travou duas vezes.",5,Geral,notificacoes chegaram atrasadas atendimento resolveu rapido solicitacao consegui atualizar cadastro apareceu erro pagamentos suporte pediu novamente mesmas informacoes carregamento relatorios demorou tentei atualizar cadastro limite travou duas vezes
"Precisei repetir algumas etapas para concluir. Consegui atualizar cadastro, mas depois apareceu erro em usabilidade.",7,Suporte,precisei repetir algumas etapas concluir consegui atualizar cadastro apareceu erro usabilidade
"Consegui atualizar cadastro, mas depois apareceu erro em dashboard. O carregamento dos relatórios demorou. naum",4,Geral,consegui atualizar cadastro apareceu erro dashboard carregamento relatorios demorou naum
"Consegui fazer transferência, mas depois apareceu erro em integração. O carregamento dos relatórios demorou. naum sitema ploblema",3,Suporte,consegui fazer transferencia apareceu erro integracao carregamento relatorios demorou naum sitema ploblema
As notificações chegaram atrasadas. O atendimento resolveu rápido a solicitação. relatórios demorou para responder.,0,Serviços,notificacoes chegaram atrasadas atendimento resolveu rapido solicitacao relatorios demorou responder
"Consegui acompanhar pagamento, mas depois apareceu erro em performance. O atendimento resolveu rápido a solicitação. As notificações chegaram atrasadas. probelma",6,Produto,consegui acompanhar pagamento apareceu erro performance atendimento resolveu rapido solicitacao notificacoes chegaram atrasadas probelma
Depois da atualização onboarding ficou mais simples. Tentei consultar saldo e onboarding travou duas vezes. Precisei repetir algumas etapas para concluir. O carregamento dos relatórios demorou. O suporte pediu novamente as mesmas informações. bugou vcs demoro,7,Serviços,atualizacao onboarding ficou simples tentei consultar saldo onboarding travou duas vezes precisei repetir algumas etapas concluir carregamento relatorios demorou suporte pediu novamente mesmas informacoes bugou vcs demoro
"Recebi erro enquanto tentava atualizar cadastro. Precisei repetir algumas etapas para concluir. Consegui atualizar cadastro, mas depois apareceu erro em onboarding.",1,Serviços,recebi erro enquanto tentava atualizar cadastro precisei repetir algumas etapas concluir consegui atualizar cadastro apareceu erro onboarding
"O atendimento resolveu rápido a solicitação. O carregamento dos relatórios demorou. Tentei atualizar cadastro e dashboard travou duas vezes. dashboard demorou para responder. Recebi erro enquanto tentava atualizar cadastro. Consegui atualizar cadastro, mas depois apareceu erro em extrato. vcs bugou demoro",6,Geral,atendimento resolveu rapido solicitacao carregamento relatorios demorou tentei atualizar cadastro dashboard travou duas vezes dashboard demorou responder recebi erro enquanto tentava atualizar cadastro consegui atualizar cadastro apareceu erro extrato vcs bugou demoro
"Tentei fazer transferência e limite travou duas vezes. O atendimento resolveu rápido a solicitação. Consegui fazer transferência, mas depois apareceu erro em integração.",0,Serviços,tentei fazer transferencia limite travou duas vezes atendimento resolveu rapido solicitacao consegui fazer transferencia apareceu erro integracao
Depois da atualização pagamentos ficou mais simples. Tentei atualizar cadastro e pagamentos travou duas vezes. pagamentos demorou para responder. O atendimento resolveu rápido a solicitação.,0,Produto,atualizacao pagamentos ficou simples tentei atualizar cadastro pagamentos travou duas vezes pagamentos demorou responder atendimento resolveu rapido solicitacao
Precisei repetir algumas etapas para concluir. O suporte pediu novamente as mesmas informações. As notificações chegaram atrasadas.,1,Suporte,precisei repetir algumas etapas concluir suporte pediu novamente mesmas informacoes notificacoes chegaram atrasadas
"Consegui consultar limite, mas depois apareceu erro em onboarding. O atendimento resolveu rápido a solicitação. As notificações chegaram atrasadas.",6,Produto,consegui consultar limite apareceu erro onboarding atendimento resolveu rapido solicitacao notificacoes chegaram atrasadas
cartão virtual demorou para responder. O atendimento resolveu rápido a solicitação.,0,Produto,cartao virtual demorou responder atendimento resolveu rapido solicitacao
Tudo certo.,7,Produto,tudo certo
Tentei consultar limite e onboarding travou duas vezes. As notificações chegaram atrasadas. O carregamento dos relatórios demorou. atendimnto,0,Produto,tentei consultar limite onboarding travou duas vezes notificacoes chegaram atrasadas carregamento relatorios demorou atendimnto
Tentei consultar limite e dashboard travou duas vezes. O carregamento dos relatórios demorou. Recebi erro enquanto tentava consultar limite. Precisei repetir algumas etapas para concluir.,8,Suporte,tentei consultar limite dashboard travou duas vezes carregamento relatorios demorou recebi erro enquanto tentava consultar limite precisei repetir algumas etapas concluir
API demorou para responder. O atendimento resolveu rápido a solicitação. ploblema atendimnto msg,9,Serviços,api demorou responder atendimento resolveu rapido solicitacao ploblema atendimnto msg
Recebi erro enquanto tentava integrar sistema. chat demorou para responder. As notificações chegaram atrasadas. bugou naum sitema,7,Serviços,recebi erro enquanto tentava integrar chat demorou responder notificacoes chegaram atrasadas bugou naum sitema
O suporte pediu novamente as mesmas informações. Precisei repetir algumas etapas para concluir. onboarding demorou para responder. Tentei atualizar cadastro e onboarding travou duas vezes. naum demoro ploblema,7,Suporte,suporte pediu novamente mesmas informacoes precisei repetir algumas etapas concluir onboarding demorou responder tentei atualizar cadastro onboarding travou duas vezes naum demoro ploblema
Recebi erro enquanto tentava consultar saldo. O carregamento dos relatórios demorou. As notificações chegaram atrasadas. dashboard demorou para responder. O atendimento resolveu rápido a solicitação. Depois da atualização dashboard ficou mais simples.,5,Serviços,recebi erro enquanto tentava consultar saldo carregamento relatorios demorou notificacoes chegaram atrasadas dashboard demorou responder atendimento resolveu rapido solicitacao atualizacao dashboard ficou simples
Precisei repetir algumas etapas para concluir. O atendimento resolveu rápido a solicitação. cartão virtual demorou para responder. platafroma qdo atendimnto,4,Suporte,precisei repetir algumas etapas concluir atendimento resolveu rapido solicitacao cartao virtual demorou responder platafroma qdo atendimnto
Tudo certo.,6,Serviços,tudo certo
Depois da atualização pagamentos ficou mais simples. Tentei consultar limite e pagamentos travou duas vezes. msg sitema travano,6,Suporte,atualizacao pagamentos ficou simples tentei consultar limite pagamentos travou duas vezes msg sitema travano
Recebi erro enquanto tentava integrar sistema. O atendimento resolveu rápido a solicitação.,3,Suporte,recebi erro enquanto tentava integrar atendimento resolveu rapido solicitacao
"Depois da atualização cadastro ficou mais simples. Recebi erro enquanto tentava emitir boleto. O atendimento resolveu rápido a solicitação. Consegui emitir boleto, mas depois apareceu erro em performance. Tentei emitir boleto e cadastro travou duas vezes. demoro qdo",1,Serviços,atualizacao cadastro ficou simples recebi erro enquanto tentava emitir boleto atendimento resolveu rapido solicitacao consegui emitir boleto apareceu erro performance tentei emitir boleto cadastro travou duas vezes demoro qdo
O atendimento resolveu rápido a solicitação. O suporte pediu novamente as mesmas informações. Depois da atualização dashboard ficou mais simples. O carregamento dos relatórios demorou. dashboard demorou para responder. Tentei acompanhar pagamento e dashboard travou duas vezes.,2,Produto,atendimento resolveu rapido solicitacao suporte pediu novamente mesmas informacoes atualizacao dashboard ficou simples carregamento relatorios demorou dashboard demorou responder tentei acompanhar pagamento dashboard travou duas vezes
"Precisei repetir algumas etapas para concluir. Tentei integrar sistema e cadastro travou duas vezes. O atendimento resolveu rápido a solicitação. Depois da atualização cadastro ficou mais simples. Consegui integrar sistema, mas depois apareceu erro em integração. vcs travano naum",5,Pós-venda,precisei repetir algumas etapas concluir tentei integrar cadastro travou duas vezes atendimento resolveu rapido solicitacao atualizacao cadastro ficou simples consegui integrar apareceu erro integracao vcs travano naum
"Consegui consultar limite, mas depois apareceu erro em pagamentos. As notificações chegaram atrasadas. O atendimento resolveu rápido a solicitação. Precisei repetir algumas etapas para concluir. Tentei consultar limite e performance travou duas vezes. O suporte pediu novamente as mesmas informações. bugou demoro",8,Serviços,consegui consultar limite apareceu erro pagamentos notificacoes chegaram atrasadas atendimento resolveu rapido solicitacao precisei repetir algumas etapas concluir tentei consultar limite performance travou duas vezes suporte pediu novamente mesmas informacoes bugou demoro
Depois da atualização limite ficou mais simples. Tentei consultar saldo e limite travou duas vezes. limite demorou para responder. Recebi erro enquanto tentava consultar saldo.,10,Produto,atualizacao limite ficou simples tentei consultar saldo limite travou duas vezes limite demorou responder recebi erro enquanto tentava consultar saldo
Tentei atualizar cadastro e dashboard travou duas vezes. Recebi erro enquanto tentava atualizar cadastro. dashboard demorou para responder. atendimnto sitema platafroma,7,Serviços,tentei atualizar cadastro dashboard travou duas vezes recebi erro enquanto tentava atualizar cadastro dashboard demorou responder atendimnto sitema platafroma
"API demorou para responder. Consegui baixar relatório, mas depois apareceu erro em performance. As notificações chegaram atrasadas. msg",3,Suporte,api demorou responder consegui baixar relatorio apareceu erro performance notificacoes chegaram atrasadas msg
"As notificações chegaram atrasadas. integração demorou para responder. O suporte pediu novamente as mesmas informações. Recebi erro enquanto tentava consultar limite. Consegui consultar limite, mas depois apareceu erro em API.",2,Geral,notificacoes chegaram atrasadas integracao demorou responder suporte pediu novamente mesmas informacoes recebi erro enquanto tentava consultar limite consegui consultar limite apareceu erro api
"Tentei integrar sistema e relatórios travou duas vezes. relatórios demorou para responder. Consegui integrar sistema, mas depois apareceu erro em onboarding.",2,Suporte,tentei integrar relatorios travou duas vezes relatorios demorou responder consegui integrar apareceu erro onboarding
"Consegui consultar limite, mas depois apareceu erro em dashboard. Precisei repetir algumas etapas para concluir. login demorou para responder. O suporte pediu novamente as mesmas informações. Depois da atualização login ficou mais simples. O atendimento resolveu rápido a solicitação. platafroma travano",1,Suporte,consegui consultar limite apareceu erro dashboard precisei repetir algumas etapas concluir login demorou responder suporte pediu novamente mesmas informacoes atualizacao login ficou simples atendimento resolveu rapido solicitacao platafroma travano
O atendimento resolveu rápido a solicitação. Precisei repetir algumas etapas para concluir. Recebi erro enquanto tentava consultar saldo. usabilidade demorou para responder. As notificações chegaram atrasadas.,9,Suporte,atendimento resolveu rapido solicitacao precisei repetir algumas etapas concluir recebi erro enquanto tentava consultar saldo usabilidade demorou responder notificacoes chegaram atrasadas
Sem opinião.,6,Suporte,opiniao
"Consegui acompanhar pagamento, mas depois apareceu erro em dashboard. Recebi erro enquanto tentava acompanhar pagamento. Tentei acompanhar pagamento e chat travou duas vezes. Depois da atualização chat ficou mais simples. O atendimento resolveu rápido a solicitação. Precisei repetir algumas etapas para concluir.",9,Produto,consegui acompanhar pagamento apareceu erro dashboard recebi erro enquanto tentava acompanhar pagamento tentei acompanhar pagamento chat travou duas vezes atualizacao chat ficou simples atendimento resolveu rapido solicitacao precisei repetir algumas etapas concluir
API demorou para responder. Depois da atualização API ficou mais simples. O carregamento dos relatórios demorou.,3,Pós-venda,api demorou responder atualizacao api ficou simples carregamento relatorios demorou
"As notificações chegaram atrasadas. O suporte pediu novamente as mesmas informações. Depois da atualização performance ficou mais simples. Tentei consultar saldo e performance travou duas vezes. Consegui consultar saldo, mas depois apareceu erro em relatórios. atendimnto qdo probelma",1,Suporte,notificacoes chegaram atrasadas suporte pediu novamente mesmas informacoes atualizacao performance ficou simples tentei consultar saldo performance travou duas vezes consegui consultar saldo apareceu erro relatorios atendimnto qdo probelma
O suporte pediu novamente as mesmas informações. Recebi erro enquanto tentava atualizar cadastro. Tentei atualizar cadastro e extrato travou duas vezes.,0,Produto,suporte pediu novamente mesmas informacoes recebi erro enquanto tentava atualizar cadastro tentei atualizar cadastro extrato travou duas vezes
As notificações chegaram atrasadas. Depois da atualização API ficou mais simples.,4,Geral,notificacoes chegaram atrasadas atualizacao api ficou simples
