comentario,nota,responsavel,comentario_stem_snowball
Depois da atualização integração ficou mais simples. Precisei repetir algumas etapas para concluir. Recebi erro enquanto tentava consultar limite. O suporte pediu novamente as mesmas informações. probelma qdo,10,Geral,depo da atualizaca integraca fic mais simpl precis repet algum etap par conclu receb erro enquant tent consult limit o suport ped nov as mesm informaco probelm qdo
O carregamento dos relatórios demorou. Tentei fazer transferência e dashboard travou duas vezes. O atendimento resolveu rápido a solicitação. As notificações chegaram atrasadas. qdo bugou msg,6,Produto,o carreg dos relatori demor tent faz transferenc e dashboard trav duas vez o atend resolv rap a solicitaca as notificaco cheg atras qdo bug msg
As notificações chegaram atrasadas. notificações demorou para responder. O carregamento dos relatórios demorou.,10,Serviços,as notificaco cheg atras notificaco demor par respond o carreg dos relatori demor
Tudo certo.,9,Suporte,tud cert
"Depois da atualização onboarding ficou mais simples. Tentei atualizar cadastro e onboarding travou duas vezes. As notificações chegaram atrasadas. Precisei repetir algumas etapas para concluir. Consegui atualizar cadastro, mas depois apareceu erro em limite.",6,Serviços,depo da atualizaca onboarding fic mais simpl tent atualiz cadastr e onboarding trav duas vez as notificaco cheg atras precis repet algum etap par conclu consegu atualiz cadastr mas depo aparec erro em limit
Recebi erro enquanto tentava integrar sistema. O atendimento resolveu rápido a solicitação. Tentei integrar sistema e dashboard travou duas vezes.,6,Produto,receb erro enquant tent integr sistem o atend resolv rap a solicitaca tent integr sistem e dashboard trav duas vez
"Tentei consultar saldo e cartão virtual travou duas vezes. Consegui consultar saldo, mas depois apareceu erro em dashboard. O carregamento dos relatórios demorou. cartão virtual demorou para responder. Precisei repetir algumas etapas para concluir.",4,Geral,tent consult sald e carta virtual trav duas vez consegu consult sald mas depo aparec erro em dashboard o carreg dos relatori demor carta virtual demor par respond precis repet algum etap par conclu
"Consegui fazer transferência, mas depois apareceu erro em integração. Recebi erro enquanto tentava fazer transferência. Precisei repetir algumas etapas para concluir. O suporte pediu novamente as mesmas informações. ploblema naum vcs",10,Pós-venda,consegu faz transferenc mas depo aparec erro em integraca receb erro enquant tent faz transferenc precis repet algum etap par conclu o suport ped nov as mesm informaco ploblem naum vcs
Recebi erro enquanto tentava consultar limite. Tentei consultar limite e dashboard travou duas vezes. O atendimento resolveu rápido a solicitação. As notificações chegaram atrasadas. Precisei repetir algumas etapas para concluir. O carregamento dos relatórios demorou. vcs sitema,0,Suporte,receb erro enquant tent consult limit tent consult limit e dashboard trav duas vez o atend resolv rap a solicitaca as notificaco cheg atras precis repet algum etap par conclu o carreg dos relatori demor vcs sitem
"As notificações chegaram atrasadas. Consegui consultar limite, mas depois apareceu erro em relatórios. O carregamento dos relatórios demorou. O atendimento resolveu rápido a solicitação.",5,Produto,as notificaco cheg atras consegu consult limit mas depo aparec erro em relatori o carreg dos relatori demor o atend resolv rap a solicitaca
O atendimento resolveu rápido a solicitação. Tentei emitir boleto e relatórios travou duas vezes.,5,Serviços,o atend resolv rap a solicitaca tent emit bolet e relatori trav duas vez
"O carregamento dos relatórios demorou. As notificações chegaram atrasadas. Recebi erro enquanto tentava fazer transferência. cartão virtual demorou para responder. Consegui fazer transferência, mas depois apareceu erro em pagamentos. atendimnto vcs",4,Geral,o carreg dos relatori demor as notificaco cheg atras receb erro enquant tent faz transferenc carta virtual demor par respond consegu faz transferenc mas depo aparec erro em pagament atendimnt vcs
"usabilidade demorou para responder. Consegui integrar sistema, mas depois apareceu erro em limite.",1,Suporte,usabil demor par respond consegu integr sistem mas depo aparec erro em limit
As notificações chegaram atrasadas. Tentei atualizar cadastro e extrato travou duas vezes. Depois da atualização extrato ficou mais simples. sitema qdo msg,7,Serviços,as notificaco cheg atras tent atualiz cadastr e extrat trav duas vez depo da atualizaca extrat fic mais simpl sitem qdo msg
As notificações chegaram atrasadas. Depois da atualização performance ficou mais simples. O carregamento dos relatórios demorou. Recebi erro enquanto tentava integrar sistema. platafroma,4,Suporte,as notificaco cheg atras depo da atualizaca performanc fic mais simpl o carreg dos relatori demor receb erro enquant tent integr sistem platafrom
O atendimento resolveu rápido a solicitação. As notificações chegaram atrasadas.,7,Suporte,o atend resolv rap a solicitaca as notificaco cheg atras
"Tentei acompanhar pagamento e cadastro travou duas vezes. Consegui acompanhar pagamento, mas depois apareceu erro em integração. Recebi erro enquanto tentava acompanhar pagamento. O carregamento dos relatórios demorou. cadastro demorou para responder. naum",7,Serviços,tent acompanh pagament e cadastr trav duas vez consegu acompanh pagament mas depo aparec erro em integraca receb erro enquant tent acompanh pagament o carreg dos relatori demor cadastr demor par respond naum
O carregamento dos relatórios demorou. O atendimento resolveu rápido a solicitação. Depois da atualização pagamentos ficou mais simples. Precisei repetir algumas etapas para concluir. msg,2,Suporte,o carreg dos relatori demor o atend resolv rap a solicitaca depo da atualizaca pagament fic mais simpl precis repet algum etap par conclu msg
Depois da atualização integração ficou mais simples. integração demorou para responder. O suporte pediu novamente as mesmas informações.,5,Produto,depo da atualizaca integraca fic mais simpl integraca demor par respond o suport ped nov as mesm informaco
login demorou para responder. Depois da atualização login ficou mais simples. Recebi erro enquanto tentava consultar limite.,6,Produto,login demor par respond depo da atualizaca login fic mais simpl receb erro enquant tent consult limit
relatórios demorou para responder. O atendimento resolveu rápido a solicitação. Precisei repetir algumas etapas para concluir. Recebi erro enquanto tentava baixar relatório. O suporte pediu novamente as mesmas informações.,5,Serviços,relatori demor par respond o atend resolv rap a solicitaca precis repet algum etap par conclu receb erro enquant tent baix relatori o suport ped nov as mesm informaco
O carregamento dos relatórios demorou. Precisei repetir algumas etapas para concluir. As notificações chegaram atrasadas. O suporte pediu novamente as mesmas informações.,7,Produto,o carreg dos relatori demor precis repet algum etap par conclu as notificaco cheg atras o suport ped nov as mesm informaco
O atendimento resolveu rápido a solicitação. Tentei atualizar cadastro e integração travou duas vezes.,5,Suporte,o atend resolv rap a solicitaca tent atualiz cadastr e integraca trav duas vez
O atendimento resolveu rápido a solicitação. Depois da atualização limite ficou mais simples.,9,Pós-venda,o atend resolv rap a solicitaca depo da atualizaca limit fic mais simpl
Depois da atualização cadastro ficou mais simples. Tentei integrar sistema e cadastro travou duas vezes. Precisei repetir algumas etapas para concluir. O suporte pediu novamente as mesmas informações. As notificações chegaram atrasadas.,0,Suporte,depo da atualizaca cadastr fic mais simpl tent integr sistem e cadastr trav duas vez precis repet algum etap par conclu o suport ped nov as mesm informaco as notificaco cheg atras
"Tentei emitir boleto e API travou duas vezes. Consegui emitir boleto, mas depois apareceu erro em cartão virtual. O suporte pediu novamente as mesmas informações. Recebi erro enquanto tentava emitir boleto. As notificações chegaram atrasadas. O carregamento dos relatórios demorou. bugou msg",5,Produto,tent emit bolet e api trav duas vez consegu emit bolet mas depo aparec erro em carta virtual o suport ped nov as mesm informaco receb erro enquant tent emit bolet as notificaco cheg atras o carreg dos relatori demor bug msg
Depois da atualização performance ficou mais simples. Recebi erro enquanto tentava fazer transferência. O carregamento dos relatórios demorou.,3,Produto,depo da atualizaca performanc fic mais simpl receb erro enquant tent faz transferenc o carreg dos relatori demor
Recebi erro enquanto tentava emitir boleto. As notificações chegaram atrasadas. limite demorou para responder. Tentei emitir boleto e limite travou duas vezes. Depois da atualização limite ficou mais simples. atendimnto vcs ploblema,5,Geral,receb erro enquant tent emit bolet as notificaco cheg atras limit demor par respond tent emit bolet e limit trav duas vez depo da atualizaca limit fic mais simpl atendimnt vcs ploblem
relatórios demorou para responder. Recebi erro enquanto tentava consultar saldo. As notificações chegaram atrasadas. O suporte pediu novamente as mesmas informações. msg bugou qdo,8,Suporte,relatori demor par respond receb erro enquant tent consult sald as notificaco cheg atras o suport ped nov as mesm informaco msg bug qdo
O suporte pediu novamente as mesmas informações. chat demorou para responder.,6,Geral,o suport ped nov as mesm informaco chat demor par respond
Mais ou menos.,1,Suporte,mais ou men
"Recebi erro enquanto tentava consultar saldo. As notificações chegaram atrasadas. Consegui consultar saldo, mas depois apareceu erro em integração.",1,Suporte,receb erro enquant tent consult sald as notificaco cheg atras consegu consult sald mas depo aparec erro em integraca
login demorou para responder. As notificações chegaram atrasadas. Depois da atualização login ficou mais simples. sitema demoro,5,Serviços,login demor par respond as notificaco cheg atras depo da atualizaca login fic mais simpl sitem demor
"As notificações chegaram atrasadas. Consegui atualizar cadastro, mas depois apareceu erro em API. Tentei atualizar cadastro e limite travou duas vezes. O suporte pediu novamente as mesmas informações. Recebi erro enquanto tentava atualizar cadastro.",1,Suporte,as notificaco cheg atras consegu atualiz cadastr mas depo aparec erro em api tent atualiz cadastr e limit trav duas vez o suport ped nov as mesm informaco receb erro enquant tent atualiz cadastr
O atendimento resolveu rápido a solicitação. O carregamento dos relatórios demorou. Precisei repetir algumas etapas para concluir. probelma demoro bugou,6,Suporte,o atend resolv rap a solicitaca o carreg dos relatori demor precis repet algum etap par conclu probelm demor bug
Precisei repetir algumas etapas para concluir. Recebi erro enquanto tentava emitir boleto. As notificações chegaram atrasadas. qdo ploblema demoro,2,Suporte,precis repet algum etap par conclu receb erro enquant tent emit bolet as notificaco cheg atras qdo ploblem demor
"As notificações chegaram atrasadas. O atendimento resolveu rápido a solicitação. cartão virtual demorou para responder. Consegui consultar limite, mas depois apareceu erro em performance. Recebi erro enquanto tentava consultar limite.",0,Geral,as notificaco cheg atras o atend resolv rap a solicitaca carta virtual demor par respond consegu consult limit mas depo aparec erro em performanc receb erro enquant tent consult limit
Depois da atualização pagamentos ficou mais simples. Tentei integrar sistema e pagamentos travou duas vezes.,3,Suporte,depo da atualizaca pagament fic mais simpl tent integr sistem e pagament trav duas vez
As notificações chegaram atrasadas. Tentei baixar relatório e cartão virtual travou duas vezes. cartão virtual demorou para responder. O carregamento dos relatórios demorou.,4,Produto,as notificaco cheg atras tent baix relatori e carta virtual trav duas vez carta virtual demor par respond o carreg dos relatori demor
Tentei fazer transferência e onboarding travou duas vezes. onboarding demorou para responder. O carregamento dos relatórios demorou. As notificações chegaram atrasadas. Precisei repetir algumas etapas para concluir. Depois da atualização onboarding ficou mais simples.,1,Serviços,tent faz transferenc e onboarding trav duas vez onboarding demor par respond o carreg dos relatori demor as notificaco cheg atras precis repet algum etap par conclu depo da atualizaca onboarding fic mais simpl
"Consegui consultar saldo, mas depois apareceu erro em usabilidade. pagamentos demorou para responder. O carregamento dos relatórios demorou. Depois da atualização pagamentos ficou mais simples. Recebi erro enquanto tentava consultar saldo. O atendimento resolveu rápido a solicitação. msg",3,Pós-venda,consegu consult sald mas depo aparec erro em usabil pagament demor par respond o carreg dos relatori demor depo da atualizaca pagament fic mais simpl receb erro enquant tent consult sald o atend resolv rap a solicitaca msg
Achei estranho.,1,Suporte,ache estranh
O suporte pediu novamente as mesmas informações. O atendimento resolveu rápido a solicitação. Tentei acompanhar pagamento e login travou duas vezes. Recebi erro enquanto tentava acompanhar pagamento.,5,Geral,o suport ped nov as mesm informaco o atend resolv rap a solicitaca tent acompanh pagament e login trav duas vez receb erro enquant tent acompanh pagament
"Consegui acompanhar pagamento, mas depois apareceu erro em performance. Precisei repetir algumas etapas para concluir. O carregamento dos relatórios demorou. Recebi erro enquanto tentava acompanhar pagamento. pagamentos demorou para responder. As notificações chegaram atrasadas. demoro",8,Serviços,consegu acompanh pagament mas depo aparec erro em performanc precis repet algum etap par conclu o carreg dos relatori demor receb erro enquant tent acompanh pagament pagament demor par respond as notificaco cheg atras demor
login demorou para responder. O suporte pediu novamente as mesmas informações.,0,Produto,login demor par respond o suport ped nov as mesm informaco
Achei estranho.,9,Suporte,ache estranh
Recebi erro enquanto tentava fazer transferência. onboarding demorou para responder. sitema probelma,6,Serviços,receb erro enquant tent faz transferenc onboarding demor par respond sitem probelm
Tentei fazer transferência e extrato travou duas vezes. As notificações chegaram atrasadas. travano vcs,7,Suporte,tent faz transferenc e extrat trav duas vez as notificaco cheg atras travan vcs
As notificações chegaram atrasadas. Depois da atualização integração ficou mais simples. Recebi erro enquanto tentava fazer transferência.,7,Produto,as notificaco cheg atras depo da atualizaca integraca fic mais simpl receb erro enquant tent faz transferenc
Depois da atualização cartão virtual ficou mais simples. O atendimento resolveu rápido a solicitação. cartão virtual demorou para responder. O carregamento dos relatórios demorou.,5,Suporte,depo da atualizaca carta virtual fic mais simpl o atend resolv rap a solicitaca carta virtual demor par respond o carreg dos relatori demor
As notificações chegaram atrasadas. Recebi erro enquanto tentava consultar saldo. Depois da atualização dashboard ficou mais simples. Precisei repetir algumas etapas para concluir. O carregamento dos relatórios demorou. Tentei consultar saldo e dashboard travou duas vezes. msg travano naum,6,Serviços,as notificaco cheg atras receb erro enquant tent consult sald depo da atualizaca dashboard fic mais simpl precis repet algum etap par conclu o carreg dos relatori demor tent consult sald e dashboard trav duas vez msg travan naum
Recebi erro enquanto tentava acompanhar pagamento. Precisei repetir algumas etapas para concluir. O atendimento resolveu rápido a solicitação.,5,Geral,receb erro enquant tent acompanh pagament precis repet algum etap par conclu o atend resolv rap a solicitaca
Normal.,5,Geral,normal
Tentei atualizar cadastro e cadastro travou duas vezes. O carregamento dos relatórios demorou. Depois da atualização cadastro ficou mais simples.,2,Suporte,tent atualiz cadastr e cadastr trav duas vez o carreg dos relatori demor depo da atualizaca cadastr fic mais simpl
O suporte pediu novamente as mesmas informações. limite demorou para responder. O carregamento dos relatórios demorou. Tentei fazer transferência e limite travou duas vezes.,10,Serviços,o suport ped nov as mesm informaco limit demor par respond o carreg dos relatori demor tent faz transferenc e limit trav duas vez
"cadastro demorou para responder. Tentei emitir boleto e cadastro travou duas vezes. O suporte pediu novamente as mesmas informações. As notificações chegaram atrasadas. Depois da atualização cadastro ficou mais simples. Consegui emitir boleto, mas depois apareceu erro em extrato.",4,Suporte,cadastr demor par respond tent emit bolet e cadastr trav duas vez o suport ped nov as mesm informaco as notificaco cheg atras depo da atualizaca cadastr fic mais simpl consegu emit bolet mas depo aparec erro em extrat
chat demorou para responder. O carregamento dos relatórios demorou. As notificações chegaram atrasadas. demoro qdo,10,Produto,chat demor par respond o carreg dos relatori demor as notificaco cheg atras demor qdo
Tentei consultar limite e cadastro travou duas vezes. O carregamento dos relatórios demorou. O atendimento resolveu rápido a solicitação. Depois da atualização cadastro ficou mais simples.,7,Suporte,tent consult limit e cadastr trav duas vez o carreg dos relatori demor o atend resolv rap a solicitaca depo da atualizaca cadastr fic mais simpl
"As notificações chegaram atrasadas. Depois da atualização onboarding ficou mais simples. onboarding demorou para responder. Consegui fazer transferência, mas depois apareceu erro em performance.",8,Geral,as notificaco cheg atras depo da atualizaca onboarding fic mais simpl onboarding demor par respond consegu faz transferenc mas depo aparec erro em performanc
"O suporte pediu novamente as mesmas informações. Consegui fazer transferência, mas depois apareceu erro em API. O atendimento resolveu rápido a solicitação. Depois da atualização limite ficou mais simples. sitema msg naum",8,Suporte,o suport ped nov as mesm informaco consegu faz transferenc mas depo aparec erro em api o atend resolv rap a solicitaca depo da atualizaca limit fic mais simpl sitem msg naum
"login demorou para responder. O atendimento resolveu rápido a solicitação. As notificações chegaram atrasadas. Recebi erro enquanto tentava emitir boleto. Precisei repetir algumas etapas para concluir. Consegui emitir boleto, mas depois apareceu erro em integração. probelma demoro",2,Suporte,login demor par respond o atend resolv rap a solicitaca as notificaco cheg atras receb erro enquant tent emit bolet precis repet algum etap par conclu consegu emit bolet mas depo aparec erro em integraca probelm demor
"Consegui fazer transferência, mas depois apareceu erro em onboarding. O suporte pediu novamente as mesmas informações. Recebi erro enquanto tentava fazer transferência. msg demoro qdo",2,Serviços,consegu faz transferenc mas depo aparec erro em onboarding o suport ped nov as mesm informaco receb erro enquant tent faz transferenc msg demor qdo
"Tentei fazer transferência e cartão virtual travou duas vezes. cartão virtual demorou para responder. As notificações chegaram atrasadas. Consegui fazer transferência, mas depois apareceu erro em usabilidade. Precisei repetir algumas etapas para concluir. qdo demoro",9,Geral,tent faz transferenc e carta virtual trav duas vez carta virtual demor par respond as notificaco cheg atras consegu faz transferenc mas depo aparec erro em usabil precis repet algum etap par conclu qdo demor
"Tentei atualizar cadastro e limite travou duas vezes. Consegui atualizar cadastro, mas depois apareceu erro em onboarding.",3,Produto,tent atualiz cadastr e limit trav duas vez consegu atualiz cadastr mas depo aparec erro em onboarding
"Precisei repetir algumas etapas para concluir. notificações demorou para responder. O carregamento dos relatórios demorou. Recebi erro enquanto tentava acompanhar pagamento. Depois da atualização notificações ficou mais simples. Consegui acompanhar pagamento, mas depois apareceu erro em extrato. probelma sitema qdo",1,Suporte,precis repet algum etap par conclu notificaco demor par respond o carreg dos relatori demor receb erro enquant tent acompanh pagament depo da atualizaca notificaco fic mais simpl consegu acompanh pagament mas depo aparec erro em extrat probelm sitem qdo
"Depois da atualização usabilidade ficou mais simples. Tentei fazer transferência e usabilidade travou duas vezes. O atendimento resolveu rápido a solicitação. Consegui fazer transferência, mas depois apareceu erro em relatórios. usabilidade demorou para responder.",6,Serviços,depo da atualizaca usabil fic mais simpl tent faz transferenc e usabil trav duas vez o atend resolv rap a solicitaca consegu faz transferenc mas depo aparec erro em relatori usabil demor par respond
"As notificações chegaram atrasadas. O suporte pediu novamente as mesmas informações. Consegui consultar limite, mas depois apareceu erro em limite.",6,Pós-venda,as notificaco cheg atras o suport ped nov as mesm informaco consegu consult limit mas depo aparec erro em limit
Achei estranho.,5,Serviços,ache estranh
"cartão virtual demorou para responder. Consegui baixar relatório, mas depois apareceu erro em dashboard. Recebi erro enquanto tentava baixar relatório. Depois da atualização cartão virtual ficou mais simples. As notificações chegaram atrasadas.",2,Suporte,carta virtual demor par respond consegu baix relatori mas depo aparec erro em dashboard receb erro enquant tent baix relatori depo da atualizaca carta virtual fic mais simpl as notificaco cheg atras
As notificações chegaram atrasadas. O suporte pediu novamente as mesmas informações. bugou,10,Suporte,as notificaco cheg atras o suport ped nov as mesm informaco bug
Depois da atualização onboarding ficou mais simples. onboarding demorou para responder. Precisei repetir algumas etapas para concluir.,5,Suporte,depo da atualizaca onboarding fic mais simpl onboarding demor par respond precis repet algum etap par conclu
"Consegui consultar saldo, mas depois apareceu erro em integração. O suporte pediu novamente as mesmas informações. O carregamento dos relatórios demorou. Recebi erro enquanto tentava consultar saldo. Depois da atualização cartão virtual ficou mais simples.",8,Geral,consegu consult sald mas depo aparec erro em integraca o suport ped nov as mesm informaco o carreg dos relatori demor receb erro enquant tent consult sald depo da atualizaca carta virtual fic mais simpl
O carregamento dos relatórios demorou. Precisei repetir algumas etapas para concluir.,6,Geral,o carreg dos relatori demor precis repet algum etap par conclu
chat demorou para responder. Tentei fazer transferência e chat travou duas vezes. Precisei repetir algumas etapas para concluir. Depois da atualização chat ficou mais simples.,7,Pós-venda,chat demor par respond tent faz transferenc e chat trav duas vez precis repet algum etap par conclu depo da atualizaca chat fic mais simpl
"Consegui baixar relatório, mas depois apareceu erro em integração. O suporte pediu novamente as mesmas informações. O atendimento resolveu rápido a solicitação.",4,Produto,consegu baix relatori mas depo aparec erro em integraca o suport ped nov as mesm informaco o atend resolv rap a solicitaca
Precisei repetir algumas etapas para concluir. Tentei atualizar cadastro e cartão virtual travou duas vezes. cartão virtual demorou para responder. Depois da atualização cartão virtual ficou mais simples. As notificações chegaram atrasadas.,3,Produto,precis repet algum etap par conclu tent atualiz cadastr e carta virtual trav duas vez carta virtual demor par respond depo da atualizaca carta virtual fic mais simpl as notificaco cheg atras
"Precisei repetir algumas etapas para concluir. Tentei consultar limite e integração travou duas vezes. O suporte pediu novamente as mesmas informações. O atendimento resolveu rápido a solicitação. Consegui consultar limite, mas depois apareceu erro em API. Recebi erro enquanto tentava consultar limite. bugou ploblema",3,Produto,precis repet algum etap par conclu tent consult limit e integraca trav duas vez o suport ped nov as mesm informaco o atend resolv rap a solicitaca consegu consult limit mas depo aparec erro em api receb erro enquant tent consult limit bug ploblem
O carregamento dos relatórios demorou. O atendimento resolveu rápido a solicitação. Precisei repetir algumas etapas para concluir.,0,Suporte,o carreg dos relatori demor o atend resolv rap a solicitaca precis repet algum etap par conclu
Regular.,2,Pós-venda,regul
"Consegui consultar saldo, mas depois apareceu erro em integração. Depois da atualização onboarding ficou mais simples. Recebi erro enquanto tentava consultar saldo. onboarding demorou para responder. O atendimento resolveu rápido a solicitação. Precisei repetir algumas etapas para concluir. travano bugou",9,Suporte,consegu consult sald mas depo aparec erro em integraca depo da atualizaca onboarding fic mais simpl receb erro enquant tent consult sald onboarding demor par respond o atend resolv rap a solicitaca precis repet algum etap par conclu travan bug
"Consegui atualizar cadastro, mas depois apareceu erro em relatórios. Depois da atualização limite ficou mais simples. Tentei atualizar cadastro e limite travou duas vezes. Precisei repetir algumas etapas para concluir.",1,Produto,consegu atualiz cadastr mas depo aparec erro em relatori depo da atualizaca limit fic mais simpl tent atualiz cadastr e limit trav duas vez precis repet algum etap par conclu
As notificações chegaram atrasadas. Depois da atualização onboarding ficou mais simples. onboarding demorou para responder. O atendimento resolveu rápido a solicitação.,7,Suporte,as notificaco cheg atras depo da atualizaca onboarding fic mais simpl onboarding demor par respond o atend resolv rap a solicitaca
O suporte pediu novamente as mesmas informações. Recebi erro enquanto tentava emitir boleto. O atendimento resolveu rápido a solicitação. As notificações chegaram atrasadas.,6,Serviços,o suport ped nov as mesm informaco receb erro enquant tent emit bolet o atend resolv rap a solicitaca as notificaco cheg atras
Precisei repetir algumas etapas para concluir. Recebi erro enquanto tentava baixar relatório. Tentei baixar relatório e API travou duas vezes.,0,Serviços,precis repet algum etap par conclu receb erro enquant tent baix relatori tent baix relatori e api trav duas vez
"O suporte pediu novamente as mesmas informações. Consegui consultar limite, mas depois apareceu erro em onboarding. qdo atendimnto",0,Suporte,o suport ped nov as mesm informaco consegu consult limit mas depo aparec erro em onboarding qdo atendimnt
"O carregamento dos relatórios demorou. Consegui consultar limite, mas depois apareceu erro em pagamentos. Precisei repetir algumas etapas para concluir. Tentei consultar limite e limite travou duas vezes. Depois da atualização limite ficou mais simples. O atendimento resolveu rápido a solicitação.",3,Geral,o carreg dos relatori demor consegu consult limit mas depo aparec erro em pagament precis repet algum etap par conclu tent consult limit e limit trav duas vez depo da atualizaca limit fic mais simpl o atend resolv rap a solicitaca
"limite demorou para responder. Precisei repetir algumas etapas para concluir. O carregamento dos relatórios demorou. Consegui emitir boleto, mas depois apareceu erro em performance. As notificações chegaram atrasadas. O atendimento resolveu rápido a solicitação.",0,Serviços,limit demor par respond precis repet algum etap par conclu o carreg dos relatori demor consegu emit bolet mas depo aparec erro em performanc as notificaco cheg atras o atend resolv rap a solicitaca
O carregamento dos relatórios demorou. As notificações chegaram atrasadas. O atendimento resolveu rápido a solicitação. Recebi erro enquanto tentava baixar relatório. O suporte pediu novamente as mesmas informações. integração demorou para responder.,1,Serviços,o carreg dos relatori demor as notificaco cheg atras o atend resolv rap a solicitaca receb erro enquant tent baix relatori o suport ped nov as mesm informaco integraca demor par respond
O suporte pediu novamente as mesmas informações. integração demorou para responder. Depois da atualização integração ficou mais simples.,0,Geral,o suport ped nov as mesm informaco integraca demor par respond depo da atualizaca integraca fic mais simpl
Precisei repetir algumas etapas para concluir. cadastro demorou para responder. O carregamento dos relatórios demorou. As notificações chegaram atrasadas. qdo ploblema,5,Suporte,precis repet algum etap par conclu cadastr demor par respond o carreg dos relatori demor as notificaco cheg atras qdo ploblem
"As notificações chegaram atrasadas. Depois da atualização performance ficou mais simples. Tentei emitir boleto e performance travou duas vezes. Consegui emitir boleto, mas depois apareceu erro em integração. Precisei repetir algumas etapas para concluir. Recebi erro enquanto tentava emitir boleto. vcs",8,Serviços,as notificaco cheg atras depo da atualizaca performanc fic mais simpl tent emit bolet e performanc trav duas vez consegu emit bolet mas depo aparec erro em integraca precis repet algum etap par conclu receb erro enquant tent emit bolet vcs
Precisei repetir algumas etapas para concluir. cadastro demorou para responder. Recebi erro enquanto tentava baixar relatório.,2,Produto,precis repet algum etap par conclu cadastr demor par respond receb erro enquant tent baix relatori
"O atendimento resolveu rápido a solicitação. Consegui fazer transferência, mas depois apareceu erro em dashboard. O carregamento dos relatórios demorou. Depois da atualização limite ficou mais simples. Tentei fazer transferência e limite travou duas vezes.",8,Produto,o atend resolv rap a solicitaca consegu faz transferenc mas depo aparec erro em dashboard o carreg dos relatori demor depo da atualizaca limit fic mais simpl tent faz transferenc e limit trav duas vez
O suporte pediu novamente as mesmas informações. onboarding demorou para responder. As notificações chegaram atrasadas. Precisei repetir algumas etapas para concluir. O carregamento dos relatórios demorou. Recebi erro enquanto tentava atualizar cadastro. bugou demoro naum,0,Geral,o suport ped nov as mesm informaco onboarding demor par respond as notificaco cheg atras precis repet algum etap par conclu o carreg dos relatori demor receb erro enquant tent atualiz cadastr bug demor naum
O suporte pediu novamente as mesmas informações. Tentei acompanhar pagamento e usabilidade travou duas vezes. Recebi erro enquanto tentava acompanhar pagamento. usabilidade demorou para responder. demoro sitema platafroma,10,Serviços,o suport ped nov as mesm informaco tent acompanh pagament e usabil trav duas vez receb erro enquant tent acompanh pagament usabil demor par respond demor sitem platafrom
"Depois da atualização dashboard ficou mais simples. Consegui integrar sistema, mas depois apareceu erro em chat. Tentei integrar sistema e dashboard travou duas vezes. dashboard demorou para responder. As notificações chegaram atrasadas. O suporte pediu novamente as mesmas informações.",6,Suporte,depo da atualizaca dashboard fic mais simpl consegu integr sistem mas depo aparec erro em chat tent integr sistem e dashboard trav duas vez dashboard demor par respond as notificaco cheg atras o suport ped nov as mesm informaco
Tentei atualizar cadastro e usabilidade travou duas vezes. usabilidade demorou para responder. Recebi erro enquanto tentava atualizar cadastro.,4,Pós-venda,tent atualiz cadastr e usabil trav duas vez usabil demor par respond receb erro enquant tent atualiz cadastr
"O suporte pediu novamente as mesmas informações. Consegui consultar limite, mas depois apareceu erro em login. Recebi erro enquanto tentava consultar limite. onboarding demorou para responder. O atendimento resolveu rápido a solicitação.",6,Produto,o suport ped nov as mesm informaco consegu consult limit mas depo aparec erro em login receb erro enquant tent consult limit onboarding demor par respond o atend resolv rap a solicitaca
cadastro demorou para responder. O carregamento dos relatórios demorou. Recebi erro enquanto tentava atualizar cadastro. Precisei repetir algumas etapas para concluir. Tentei atualizar cadastro e cadastro travou duas vezes. Depois da atualização cadastro ficou mais simples.,0,Geral,cadastr demor par respond o carreg dos relatori demor receb erro enquant tent atualiz cadastr precis repet algum etap par conclu tent atualiz cadastr e cadastr trav duas vez depo da atualizaca cadastr fic mais simpl
O suporte pediu novamente as mesmas informações. Tentei fazer transferência e usabilidade travou duas vezes. Depois da atualização usabilidade ficou mais simples. O carregamento dos relatórios demorou. Recebi erro enquanto tentava fazer transferência. naum qdo bugou,1,Serviços,o suport ped nov as mesm informaco tent faz transferenc e usabil trav duas vez depo da atualizaca usabil fic mais simpl o carreg dos relatori demor receb erro enquant tent faz transferenc naum qdo bug
As notificações chegaram atrasadas. O carregamento dos relatórios demorou. cartão virtual demorou para responder. O atendimento resolveu rápido a solicitação. Depois da atualização cartão virtual ficou mais simples. Precisei repetir algumas etapas para concluir.,1,Serviços,as notificaco cheg atras o carreg dos relatori demor carta virtual demor par respond o atend resolv rap a solicitaca depo da atualizaca carta virtual fic mais simpl precis repet algum etap par conclu
"O carregamento dos relatórios demorou. O atendimento resolveu rápido a solicitação. login demorou para responder. Precisei repetir algumas etapas para concluir. As notificações chegaram atrasadas. Consegui fazer transferência, mas depois apareceu erro em limite.",0,Produto,o carreg dos relatori demor o atend resolv rap a solicitaca login demor par respond precis repet algum etap par conclu as notificaco cheg atras consegu faz transferenc mas depo aparec erro em limit
