comentario,nota,responsavel
atend resolv rap solicitaca notificaco cheg atras consegu atualiz cadastr aparec erro relatori atualizaca cadastr fic simpl tent atualiz cadastr cadastr trav duas vez precis repet algum etap conclu demor,2,Suporte
receb erro enquant tent faz transferenc consegu faz transferenc aparec erro chat notificaco demor respond demor travan,5,Produto
suport ped nov mesm informaco receb erro enquant tent baix relatori atualizaca notificaco fic simpl atend resolv rap solicitaca precis repet algum etap conclu carreg relatori demor,6,Serviços
usabil demor respond tent acompanh pagament usabil trav duas vez receb erro enquant tent acompanh pagament carreg relatori demor precis repet algum etap conclu notificaco cheg atras,5,Produto
atualizaca carta virtual fic simpl consegu faz transferenc aparec erro pagament atend resolv rap solicitaca tent faz transferenc carta virtual trav duas vez receb erro enquant tent faz transferenc,2,Geral
atend resolv rap solicitaca notificaco cheg atras precis repet algum etap conclu carreg relatori demor consegu acompanh pagament aparec erro integraca,5,Pós-venda
relatori demor respond suport ped nov mesm informaco carreg relatori demor,4,Pós-venda
notificaco cheg atras cadastr demor respond,0,Geral
tent emit bolet extrat trav duas vez notificaco cheg atras extrat demor respond,6,Produto
precis repet algum etap conclu atualizaca notificaco fic simpl,7,Geral
precis repet algum etap conclu receb erro enquant tent emit bolet suport ped nov mesm informaco,10,Suporte
atualizaca api fic simpl precis repet algum etap conclu tent acompanh pagament api trav duas vez api demor respond,5,Geral
carreg relatori demor suport ped nov mesm informaco,9,Pós-venda
suport ped nov mesm informaco atualizaca cadastr fic simpl,0,Suporte
precis repet algum etap conclu suport ped nov mesm informaco sitem platafrom bug,2,Geral
tent consult limit onboarding trav duas vez receb erro enquant tent consult limit carreg relatori demor,3,Produto
suport ped nov mesm informaco carreg relatori demor consegu faz transferenc aparec erro pagament receb erro enquant tent faz transferenc notificaco cheg atras,10,Geral
precis repet algum etap conclu notificaco cheg atras atualizaca integraca fic simpl atend resolv rap solicitaca carreg relatori demor tent faz transferenc integraca trav duas vez,9,Produto
precis repet algum etap conclu pagament demor respond tent atualiz cadastr pagament trav duas vez suport ped nov mesm informaco carreg relatori demor,5,Produto
atend resolv rap solicitaca receb erro enquant tent atualiz cadastr consegu atualiz cadastr aparec erro api notificaco demor respond tent atualiz cadastr notificaco trav duas vez precis repet algum etap conclu ploblem sitem,0,Suporte
tent consult sald relatori trav duas vez consegu consult sald aparec erro performanc precis repet algum etap conclu relatori demor respond notificaco cheg atras atualizaca relatori fic simpl ploblem,5,Suporte
consegu integr aparec erro relatori atend resolv rap solicitaca travan vcs ploblem,5,Suporte
tent integr limit trav duas vez consegu integr aparec erro extrat precis repet algum etap conclu suport ped nov mesm informaco atend resolv rap solicitaca atualizaca limit fic simpl naum atendimnt,3,Produto
suport ped nov mesm informaco tent baix relatori onboarding trav duas vez receb erro enquant tent baix relatori precis repet algum etap conclu carreg relatori demor atualizaca onboarding fic simpl,7,Produto
receb erro enquant tent acompanh pagament notificaco cheg atras precis repet algum etap conclu tent acompanh pagament usabil trav duas vez usabil demor respond,10,Geral
atualizaca dashboard fic simpl atend resolv rap solicitaca consegu baix relatori aparec erro usabil carreg relatori demor receb erro enquant tent baix relatori platafrom,8,Produto
consegu acompanh pagament aparec erro relatori suport ped nov mesm informaco atend resolv rap solicitaca atualizaca extrat fic simpl,5,Geral
atend resolv rap solicitaca consegu integr aparec erro api carreg relatori demor,6,Serviços
receb erro enquant tent consult limit atualizaca api fic simpl carreg relatori demor vcs,8,Serviços
atualizaca usabil fic simpl consegu consult limit aparec erro carta virtual tent consult limit usabil trav duas vez notificaco cheg atras receb erro enquant tent consult limit precis repet algum etap conclu atendimnt probelm msg,8,Serviços
carreg relatori demor consegu consult limit aparec erro carta virtual suport ped nov mesm informaco integraca demor respond tent consult limit integraca trav duas vez notificaco cheg atras,7,Geral
notificaco cheg atras receb erro enquant tent integr consegu integr aparec erro relatori tent integr onboarding trav duas vez,2,Serviços
tent baix relatori login trav duas vez atualizaca login fic simpl consegu baix relatori aparec erro relatori,3,Produto
receb erro enquant tent baix relatori precis repet algum etap conclu suport ped nov mesm informaco carreg relatori demor integraca demor respond platafrom travan naum,2,Serviços
login demor respond consegu faz transferenc aparec erro onboarding suport ped nov mesm informaco atend resolv rap solicitaca travan,1,Suporte
receb erro enquant tent baix relatori notificaco cheg atras precis repet algum etap conclu atend resolv rap solicitaca suport ped nov mesm informaco,5,Pós-venda
notificaco cheg atras atualizaca chat fic simpl precis repet algum etap conclu chat demor respond tent integr chat trav duas vez,6,Produto
tent atualiz cadastr notificaco trav duas vez precis repet algum etap conclu atend resolv rap solicitaca receb erro enquant tent atualiz cadastr msg travan,6,Serviços
limit demor respond receb erro enquant tent acompanh pagament carreg relatori demor,5,Produto
atualizaca limit fic simpl consegu integr aparec erro login notificaco cheg atras tent integr limit trav duas vez,9,Suporte
tent consult sald dashboard trav duas vez receb erro enquant tent consult sald sitem,10,Produto
precis repet algum etap conclu atualizaca cadastr fic simpl consegu baix relatori aparec erro pagament receb erro enquant tent baix relatori naum probelm atendimnt,9,Produto
precis repet algum etap conclu receb erro enquant tent consult limit suport ped nov mesm informaco consegu consult limit aparec erro pagament carreg relatori demor,1,Produto
carta virtual demor respond tent atualiz cadastr carta virtual trav duas vez consegu atualiz cadastr aparec erro onboarding bug msg,6,Serviços
notificaco cheg atras carreg relatori demor atend resolv rap solicitaca api demor respond,6,Geral
tent faz transferenc limit trav duas vez precis repet algum etap conclu carreg relatori demor atend resolv rap solicitaca,2,Serviços
receb erro enquant tent consult sald tent consult sald performanc trav duas vez atend resolv rap solicitaca performanc demor respond platafrom,1,Serviços
consegu consult sald aparec erro performanc atend resolv rap solicitaca notificaco cheg atras,6,Geral
receb erro enquant tent acompanh pagament tent acompanh pagament integraca trav duas vez demor,6,Geral
receb erro enquant tent baix relatori tent baix relatori dashboard trav duas vez suport ped nov mesm informaco notificaco cheg atras atualizaca dashboard fic simpl carreg relatori demor probelm atendimnt ploblem,9,Suporte
tent faz transferenc chat trav duas vez consegu faz transferenc aparec erro integraca precis repet algum etap conclu chat demor respond atend resolv rap solicitaca receb erro enquant tent faz transferenc,8,Suporte
tent faz transferenc carta virtual trav duas vez carreg relatori demor receb erro enquant tent faz transferenc atualizaca carta virtual fic simpl notificaco cheg atras consegu faz transferenc aparec erro usabil,1,Produto
tent atualiz cadastr limit trav duas vez atend resolv rap solicitaca consegu atualiz cadastr aparec erro performanc precis repet algum etap conclu notificaco cheg atras travan naum,9,Produto
consegu consult limit aparec erro login atualizaca notificaco fic simpl suport ped nov mesm informaco receb erro enquant tent consult limit tent consult limit notificaco trav duas vez,10,Pós-venda
notificaco cheg atras atend resolv rap solicitaca tent acompanh pagament carta virtual trav duas vez precis repet algum etap conclu carreg relatori demor sitem platafrom,4,Pós-venda
carreg relatori demor consegu faz transferenc aparec erro carta virtual notificaco cheg atras receb erro enquant tent faz transferenc precis repet algum etap conclu suport ped nov mesm informaco,1,Serviços
usabil demor respond precis repet algum etap conclu notificaco cheg atras consegu faz transferenc aparec erro carta virtual atualizaca usabil fic simpl atend resolv rap solicitaca,10,Geral
receb erro enquant tent baix relatori notificaco cheg atras atend resolv rap solicitaca precis repet algum etap conclu carreg relatori demor,0,Serviços
suport ped nov mesm informaco consegu consult sald aparec erro chat atend resolv rap solicitaca precis repet algum etap conclu notificaco cheg atras atendimnt demor,10,Serviços
suport ped nov mesm informaco tent baix relatori extrat trav duas vez consegu baix relatori aparec erro chat precis repet algum etap conclu extrat demor respond,7,Produto
atualizaca limit fic simpl carreg relatori demor consegu consult limit aparec erro dashboard suport ped nov mesm informaco demor,4,Geral
carreg relatori demor atualizaca extrat fic simpl receb erro enquant tent emit bolet atend resolv rap solicitaca tent emit bolet extrat trav duas vez extrat demor respond,5,Pós-venda
suport ped nov mesm informaco login demor respond atualizaca login fic simpl precis repet algum etap conclu,10,Suporte
login demor respond consegu acompanh pagament aparec erro cadastr bug,10,Produto
atualizaca dashboard fic simpl suport ped nov mesm informaco sitem,5,Geral
notificaco cheg atras consegu acompanh pagament aparec erro usabil receb erro enquant tent acompanh pagament,9,Serviços
tent baix relatori login trav duas vez login demor respond suport ped nov mesm informaco,2,Suporte
consegu baix relatori aparec erro pagament atualizaca api fic simpl suport ped nov mesm informaco tent baix relatori api trav duas vez,10,Geral
precis repet algum etap conclu atend resolv rap solicitaca notificaco cheg atras carreg relatori demor consegu atualiz cadastr aparec erro pagament sitem naum platafrom,1,Produto
atend resolv rap solicitaca receb erro enquant tent acompanh pagament suport ped nov mesm informaco consegu acompanh pagament aparec erro extrat,5,Geral
carreg relatori demor consegu acompanh pagament aparec erro extrat suport ped nov mesm informaco atualizaca carta virtual fic simpl,8,Geral
atualizaca carta virtual fic simpl consegu faz transferenc aparec erro cadastr notificaco cheg atras carreg relatori demor carta virtual demor respond,5,Suporte
carreg relatori demor atualizaca integraca fic simpl tent baix relatori integraca trav duas vez suport ped nov mesm informaco,0,Suporte
suport ped nov mesm informaco consegu acompanh pagament aparec erro carta virtual notificaco cheg atras precis repet algum etap conclu,2,Suporte
tent atualiz cadastr integraca trav duas vez atend resolv rap solicitaca precis repet algum etap conclu suport ped nov mesm informaco sitem platafrom,0,Geral
consegu baix relatori aparec erro login atualizaca chat fic simpl chat demor respond notificaco cheg atras suport ped nov mesm informaco atendimnt travan qdo,9,Suporte
suport ped nov mesm informaco atend resolv rap solicitaca naum,5,Produto
precis repet algum etap conclu suport ped nov mesm informaco consegu faz transferenc aparec erro dashboard notificaco cheg atras receb erro enquant tent faz transferenc,3,Suporte
integraca demor respond consegu emit bolet aparec erro performanc,5,Serviços
atualizaca api fic simpl suport ped nov mesm informaco api demor respond,4,Produto
tent integr integraca trav duas vez carreg relatori demor naum,6,Geral
notificaco cheg atras tent emit bolet pagament trav duas vez receb erro enquant tent emit bolet suport ped nov mesm informaco vcs,10,Suporte
tent acompanh pagament extrat trav duas vez notificaco cheg atras extrat demor respond consegu acompanh pagament aparec erro usabil receb erro enquant tent acompanh pagament,4,Produto
limit demor respond receb erro enquant tent consult limit,7,Suporte
suport ped nov mesm informaco receb erro enquant tent faz transferenc performanc demor respond notificaco cheg atras consegu faz transferenc aparec erro usabil naum vcs,5,Geral
precis repet algum etap conclu consegu consult sald aparec erro login receb erro enquant tent consult sald suport ped nov mesm informaco carreg relatori demor demor,10,Produto
tent atualiz cadastr limit trav duas vez atend resolv rap solicitaca limit demor respond notificaco cheg atras bug sitem platafrom,1,Serviços
carreg relatori demor precis repet algum etap conclu tent atualiz cadastr integraca trav duas vez vcs travan,1,Suporte
extrat demor respond consegu faz transferenc aparec erro login receb erro enquant tent faz transferenc atualizaca extrat fic simpl precis repet algum etap conclu notificaco cheg atras,3,Serviços
atend resolv rap solicitaca suport ped nov mesm informaco,7,Serviços
consegu acompanh pagament aparec erro dashboard notificaco cheg atras atend resolv rap solicitaca receb erro enquant tent acompanh pagament,10,Serviços
receb erro enquant tent baix relatori precis repet algum etap conclu atend resolv rap solicitaca tent baix relatori onboarding trav duas vez consegu baix relatori aparec erro api vcs travan platafrom,0,Suporte
consegu emit bolet aparec erro integraca extrat demor respond receb erro enquant tent emit bolet notificaco cheg atras precis repet algum etap conclu vcs qdo naum,6,Serviços
precis repet algum etap conclu receb erro enquant tent acompanh pagament atend resolv rap solicitaca consegu acompanh pagament aparec erro chat carreg relatori demor,9,Produto
carreg relatori demor atualizaca login fic simpl precis repet algum etap conclu tent faz transferenc login trav duas vez consegu faz transferenc aparec erro extrat login demor respond bug demor vcs,7,Produto
carreg relatori demor consegu faz transferenc aparec erro login atualizaca api fic simpl suport ped nov mesm informaco notificaco cheg atras bug,0,Suporte
notificaco cheg atras atualizaca login fic simpl precis repet algum etap conclu tent integr login trav duas vez receb erro enquant tent integr carreg relatori demor bug probelm ploblem,10,Pós-venda
pagament demor respond consegu emit bolet aparec erro cadastr notificaco cheg atras suport ped nov mesm informaco atualizaca pagament fic simpl tent emit bolet pagament trav duas vez naum,7,Produto
consegu integr aparec erro onboarding precis repet algum etap conclu vcs,7,Serviços
consegu faz transferenc aparec erro notificaco dashboard demor respond tent faz transferenc dashboard trav duas vez notificaco cheg atras,2,Produto
consegu emit bolet aparec erro carta virtual notificaco cheg atras tent emit bolet cadastr trav duas vez receb erro enquant tent emit bolet suport ped nov mesm informaco,1,Suporte
precis repet algum etap conclu tent acompanh pagament performanc trav duas vez atualizaca performanc fic simpl atend resolv rap solicitaca suport ped nov mesm informaco,1,Serviços
atend resolv rap solicitaca api demor respond bug vcs qdo,7,Suporte
atend resolv rap solicitaca tent atualiz cadastr carta virtual trav duas vez precis repet algum etap conclu carreg relatori demor receb erro enquant tent atualiz cadastr atualizaca carta virtual fic simpl,0,Pós-venda
suport ped nov mesm informaco precis repet algum etap conclu atend resolv rap solicitaca usabil demor respond notificaco cheg atras consegu emit bolet aparec erro integraca,1,Produto
carta virtual demor respond atualizaca carta virtual fic simpl notificaco cheg atras consegu emit bolet aparec erro onboarding tent emit bolet carta virtual trav duas vez receb erro enquant tent emit bolet,6,Suporte
notificaco cheg atras consegu consult limit aparec erro relatori atend resolv rap solicitaca,1,Serviços
consegu baix relatori aparec erro integraca tent baix relatori carta virtual trav duas vez atend resolv rap solicitaca carta virtual demor respond precis repet algum etap conclu receb erro enquant tent baix relatori,6,Suporte
pagament demor respond consegu consult sald aparec erro onboarding suport ped nov mesm informaco,8,Suporte
notificaco cheg atras consegu faz transferenc aparec erro usabil carreg relatori demor tent faz transferenc carta virtual trav duas vez carta virtual demor respond,4,Pós-venda
receb erro enquant tent atualiz cadastr atend resolv rap solicitaca dashboard demor respond vcs,7,Suporte
tent atualiz cadastr notificaco trav duas vez suport ped nov mesm informaco notificaco cheg atras notificaco demor respond consegu atualiz cadastr aparec erro carta virtual,8,Serviços
carreg relatori demor precis repet algum etap conclu consegu acompanh pagament aparec erro login tent acompanh pagament limit trav duas vez notificaco cheg atras platafrom,9,Produto
precis repet algum etap conclu performanc demor respond carreg relatori demor notificaco cheg atras,10,Serviços
notificaco cheg atras atend resolv rap solicitaca,9,Pós-venda
receb erro enquant tent faz transferenc precis repet algum etap conclu atualizaca login fic simpl carreg relatori demor notificaco cheg atras suport ped nov mesm informaco vcs naum,0,Suporte
atualizaca limit fic simpl atend resolv rap solicitaca,1,Suporte
precis repet algum etap conclu atualizaca onboarding fic simpl tent baix relatori onboarding trav duas vez onboarding demor respond vcs,8,Produto
atend resolv rap solicitaca carreg relatori demor receb erro enquant tent integr suport ped nov mesm informaco notificaco cheg atras,1,Produto
consegu integr aparec erro notificaco receb erro enquant tent integr notificaco cheg atras carreg relatori demor tent integr limit trav duas vez atendimnt bug,0,Suporte
precis repet algum etap conclu suport ped nov mesm informaco notificaco cheg atras receb erro enquant tent emit bolet consegu emit bolet aparec erro carta virtual,2,Produto
carreg relatori demor usabil demor respond tent consult sald usabil trav duas vez atualizaca usabil fic simpl receb erro enquant tent consult sald,1,Produto
receb erro enquant tent acompanh pagament notificaco cheg atras consegu acompanh pagament aparec erro extrat,1,Suporte
atualizaca integraca fic simpl carreg relatori demor qdo bug ploblem,6,Serviços
atend resolv rap solicitaca carreg relatori demor precis repet algum etap conclu suport ped nov mesm informaco sitem probelm demor,0,Serviços
consegu baix relatori aparec erro api dashboard demor respond carreg relatori demor atualizaca dashboard fic simpl,8,Geral
carreg relatori demor receb erro enquant tent faz transferenc suport ped nov mesm informaco notificaco cheg atras,1,Geral
notificaco cheg atras tent faz transferenc dashboard trav duas vez receb erro enquant tent faz transferenc,2,Produto
carreg relatori demor suport ped nov mesm informaco atend resolv rap solicitaca sitem probelm,9,Produto
notificaco cheg atras carreg relatori demor atend resolv rap solicitaca precis repet algum etap conclu suport ped nov mesm informaco tent baix relatori usabil trav duas vez,9,Serviços
suport ped nov mesm informaco tent baix relatori usabil trav duas vez usabil demor respond,10,Produto
notificaco cheg atras carreg relatori demor receb erro enquant tent emit bolet tent emit bolet notificaco trav duas vez atualizaca notificaco fic simpl platafrom probelm sitem,10,Produto
tent acompanh pagament dashboard trav duas vez dashboard demor respond suport ped nov mesm informaco receb erro enquant tent acompanh pagament,7,Produto
consegu acompanh pagament aparec erro carta virtual notificaco cheg atras atend resolv rap solicitaca vcs,3,Geral
suport ped nov mesm informaco carreg relatori demor precis repet algum etap conclu qdo msg ploblem,1,Geral
atend resolv rap solicitaca notificaco cheg atras,5,Produto
precis repet algum etap conclu carreg relatori demor receb erro enquant tent integr,9,Suporte
receb erro enquant tent atualiz cadastr tent atualiz cadastr cadastr trav duas vez cadastr demor respond consegu atualiz cadastr aparec erro api,5,Produto
api demor respond consegu faz transferenc aparec erro performanc,5,Suporte
precis repet algum etap conclu atend resolv rap solicitaca consegu faz transferenc aparec erro carta virtual vcs demor,6,Serviços
tent acompanh pagament relatori trav duas vez consegu acompanh pagament aparec erro integraca suport ped nov mesm informaco receb erro enquant tent acompanh pagament relatori demor respond notificaco cheg atras sitem travan,1,Suporte
carreg relatori demor consegu atualiz cadastr aparec erro usabil precis repet algum etap conclu notificaco demor respond receb erro enquant tent atualiz cadastr atualizaca notificaco fic simpl naum sitem travan,3,Suporte
relatori demor respond suport ped nov mesm informaco consegu integr aparec erro carta virtual atend resolv rap solicitaca,4,Geral
atualizaca relatori fic simpl suport ped nov mesm informaco demor,9,Produto
suport ped nov mesm informaco atualizaca onboarding fic simpl tent integr onboarding trav duas vez receb erro enquant tent integr precis repet algum etap conclu consegu integr aparec erro relatori,2,Geral
notificaco cheg atras atend resolv rap solicitaca tent emit bolet notificaco trav duas vez notificaco demor respond consegu emit bolet aparec erro extrat naum probelm qdo,6,Serviços
carreg relatori demor atualizaca extrat fic simpl consegu faz transferenc aparec erro pagament extrat demor respond notificaco cheg atras suport ped nov mesm informaco,9,Suporte
tent atualiz cadastr carta virtual trav duas vez notificaco cheg atras receb erro enquant tent atualiz cadastr consegu atualiz cadastr aparec erro limit atend resolv rap solicitaca,8,Serviços
atualizaca dashboard fic simpl receb erro enquant tent atualiz cadastr carreg relatori demor tent atualiz cadastr dashboard trav duas vez precis repet algum etap conclu suport ped nov mesm informaco platafrom vcs atendimnt,6,Serviços
receb erro enquant tent consult sald carreg relatori demor notificaco cheg atras tent consult sald performanc trav duas vez,5,Produto
suport ped nov mesm informaco consegu faz transferenc aparec erro performanc atend resolv rap solicitaca,10,Produto
tent atualiz cadastr extrat trav duas vez atend resolv rap solicitaca notificaco cheg atras consegu atualiz cadastr aparec erro login,6,Serviços
pagament demor respond carreg relatori demor notificaco cheg atras tent faz transferenc pagament trav duas vez,3,Produto
suport ped nov mesm informaco tent baix relatori extrat trav duas vez,9,Serviços
relatori demor respond notificaco cheg atras suport ped nov mesm informaco atualizaca relatori fic simpl tent baix relatori relatori trav duas vez,10,Produto
carreg relatori demor tent acompanh pagament pagament trav duas vez notificaco cheg atras receb erro enquant tent acompanh pagament pagament demor respond,3,Serviços
precis repet algum etap conclu consegu integr aparec erro carta virtual travan naum,2,Geral
atend resolv rap solicitaca carreg relatori demor notificaco cheg atras atualizaca usabil fic simpl consegu baix relatori aparec erro performanc sitem,2,Geral
suport ped nov mesm informaco notificaco cheg atras carreg relatori demor atend resolv rap solicitaca atualizaca cadastr fic simpl receb erro enquant tent acompanh pagament vcs travan msg,3,Serviços
atualizaca carta virtual fic simpl consegu baix relatori aparec erro dashboard,5,Suporte
extrat demor respond notificaco cheg atras precis repet algum etap conclu consegu baix relatori aparec erro limit receb erro enquant tent baix relatori,4,Geral
suport ped nov mesm informaco atualizaca relatori fic simpl atend resolv rap solicitaca precis repet algum etap conclu relatori demor respond,5,Produto
atend resolv rap solicitaca consegu faz transferenc aparec erro extrat atualizaca performanc fic simpl precis repet algum etap conclu carreg relatori demor performanc demor respond,4,Serviços
tent baix relatori limit trav duas vez suport ped nov mesm informaco limit demor respond precis repet algum etap conclu,3,Geral
consegu baix relatori aparec erro chat suport ped nov mesm informaco receb erro enquant tent baix relatori tent baix relatori pagament trav duas vez probelm travan,7,Produto
precis repet algum etap conclu suport ped nov mesm informaco,0,Serviços
suport ped nov mesm informaco precis repet algum etap conclu atend resolv rap solicitaca travan bug,5,Geral
notificaco cheg atras tent faz transferenc api trav duas vez carreg relatori demor precis repet algum etap conclu atualizaca api fic simpl demor,3,Produto
receb erro enquant tent consult limit carreg relatori demor,9,Geral
carreg relatori demor consegu emit bolet aparec erro relatori atualizaca dashboard fic simpl notificaco cheg atras,5,Serviços
receb erro enquant tent baix relatori carreg relatori demor notificaco cheg atras suport ped nov mesm informaco consegu baix relatori aparec erro limit,1,Produto
carta virtual demor respond tent consult limit carta virtual trav duas vez atend resolv rap solicitaca atualizaca carta virtual fic simpl receb erro enquant tent consult limit precis repet algum etap conclu,7,Suporte
relatori demor respond consegu emit bolet aparec erro cadastr carreg relatori demor tent emit bolet relatori trav duas vez,9,Pós-venda
suport ped nov mesm informaco atualizaca usabil fic simpl consegu consult sald aparec erro pagament precis repet algum etap conclu,2,Produto
suport ped nov mesm informaco atualizaca relatori fic simpl probelm,3,Produto
suport ped nov mesm informaco atualizaca performanc fic simpl precis repet algum etap conclu,1,Produto
tent atualiz cadastr chat trav duas vez chat demor respond,0,Geral
carreg relatori demor notificaco cheg atras,8,Suporte
atend resolv rap solicitaca receb erro enquant tent emit bolet consegu emit bolet aparec erro notificaco naum atendimnt,7,Pós-venda
consegu emit bolet aparec erro onboarding carreg relatori demor atend resolv rap solicitaca atualizaca relatori fic simpl platafrom,6,Suporte
carreg relatori demor suport ped nov mesm informaco receb erro enquant tent consult sald atualizaca chat fic simpl precis repet algum etap conclu consegu consult sald aparec erro integraca vcs sitem platafrom,5,Produto
consegu emit bolet aparec erro notificaco suport ped nov mesm informaco receb erro enquant tent emit bolet carreg relatori demor atend resolv rap solicitaca tent emit bolet relatori trav duas vez,9,Produto
performanc demor respond receb erro enquant tent faz transferenc atend resolv rap solicitaca suport ped nov mesm informaco,3,Geral
carreg relatori demor atend resolv rap solicitaca ploblem,0,Geral
receb erro enquant tent acompanh pagament atend resolv rap solicitaca carreg relatori demor vcs,1,Suporte
atualizaca integraca fic simpl precis repet algum etap conclu,0,Produto
precis repet algum etap conclu carreg relatori demor suport ped nov mesm informaco atend resolv rap solicitaca,1,Serviços
atend resolv rap solicitaca suport ped nov mesm informaco receb erro enquant tent acompanh pagament notificaco cheg atras,6,Suporte
api demor respond tent atualiz cadastr api trav duas vez notificaco cheg atras precis repet algum etap conclu,9,Pós-venda
tent emit bolet carta virtual trav duas vez carreg relatori demor,6,Geral
performanc demor respond notificaco cheg atras precis repet algum etap conclu receb erro enquant tent consult limit atend resolv rap solicitaca tent consult limit performanc trav duas vez,4,Suporte
precis repet algum etap conclu notificaco cheg atras cadastr demor respond tent consult limit cadastr trav duas vez suport ped nov mesm informaco receb erro enquant tent consult limit,10,Produto
atend resolv rap solicitaca atualizaca login fic simpl login demor respond,1,Produto
consegu faz transferenc aparec erro limit carreg relatori demor atualizaca chat fic simpl tent faz transferenc chat trav duas vez vcs ploblem,4,Geral
carreg relatori demor notificaco cheg atras tent consult sald relatori trav duas vez,0,Produto
atualizaca onboarding fic simpl notificaco cheg atras atend resolv rap solicitaca tent baix relatori onboarding trav duas vez,6,Suporte
notificaco cheg atras suport ped nov mesm informaco consegu integr aparec erro chat tent integr performanc trav duas vez precis repet algum etap conclu,1,Suporte
carreg relatori demor precis repet algum etap conclu atualizaca api fic simpl atend resolv rap solicitaca consegu baix relatori aparec erro notificaco api demor respond,5,Produto
tent acompanh pagament notificaco trav duas vez notificaco cheg atras notificaco demor respond receb erro enquant tent acompanh pagament suport ped nov mesm informaco vcs,9,Pós-venda
suport ped nov mesm informaco atualizaca login fic simpl receb erro enquant tent baix relatori notificaco cheg atras precis repet algum etap conclu atend resolv rap solicitaca qdo probelm atendimnt,3,Geral
carreg relatori demor relatori demor respond suport ped nov mesm informaco bug vcs ploblem,4,Suporte
extrat demor respond carreg relatori demor consegu atualiz cadastr aparec erro notificaco suport ped nov mesm informaco precis repet algum etap conclu,9,Produto
cadastr demor respond notificaco cheg atras atualizaca cadastr fic simpl ploblem naum travan,6,Pós-venda
integraca demor respond precis repet algum etap conclu atend resolv rap solicitaca notificaco cheg atras atualizaca integraca fic simpl,10,Produto
tent faz transferenc api trav duas vez receb erro enquant tent faz transferenc consegu faz transferenc aparec erro relatori carreg relatori demor notificaco cheg atras api demor respond naum bug,2,Produto
notificaco cheg atras atualizaca cadastr fic simpl tent consult limit cadastr trav duas vez suport ped nov mesm informaco consegu consult limit aparec erro onboarding probelm platafrom ploblem,8,Produto
receb erro enquant tent integr consegu integr aparec erro limit atend resolv rap solicitaca,9,Serviços
extrat demor respond carreg relatori demor atualizaca extrat fic simpl precis repet algum etap conclu suport ped nov mesm informaco consegu integr aparec erro cadastr,7,Suporte
atend resolv rap solicitaca receb erro enquant tent consult limit carreg relatori demor notificaco cheg atras suport ped nov mesm informaco,6,Pós-venda
receb erro enquant tent integr atend resolv rap solicitaca notificaco cheg atras chat demor respond,5,Produto
precis repet algum etap conclu consegu consult sald aparec erro notificaco msg qdo vcs,7,Serviços
atualizaca dashboard fic simpl dashboard demor respond carreg relatori demor precis repet algum etap conclu receb erro enquant tent integr atend resolv rap solicitaca,3,Produto
notificaco cheg atras precis repet algum etap conclu tent faz transferenc cadastr trav duas vez suport ped nov mesm informaco atend resolv rap solicitaca,3,Serviços
tent consult sald dashboard trav duas vez consegu consult sald aparec erro integraca carreg relatori demor dashboard demor respond,10,Suporte
carreg relatori demor notificaco cheg atras precis repet algum etap conclu atend resolv rap solicitaca,5,Suporte
precis repet algum etap conclu carta virtual demor respond notificaco cheg atras platafrom ploblem,5,Pós-venda
atend resolv rap solicitaca consegu faz transferenc aparec erro limit ploblem demor travan,6,Pós-venda
atualizaca performanc fic simpl performanc demor respond atend resolv rap solicitaca precis repet algum etap conclu tent integr performanc trav duas vez atendimnt,9,Suporte
atualizaca notificaco fic simpl precis repet algum etap conclu naum msg,10,Pós-venda
atend resolv rap solicitaca notificaco cheg atras atualizaca carta virtual fic simpl precis repet algum etap conclu suport ped nov mesm informaco carta virtual demor respond qdo platafrom,2,Suporte
precis repet algum etap conclu receb erro enquant tent emit bolet carreg relatori demor consegu emit bolet aparec erro extrat notificaco cheg atras onboarding demor respond demor,0,Produto
consegu faz transferenc aparec erro pagament receb erro enquant tent faz transferenc notificaco cheg atras integraca demor respond,4,Serviços
atualizaca relatori fic simpl suport ped nov mesm informaco precis repet algum etap conclu consegu integr aparec erro integraca notificaco cheg atras relatori demor respond demor qdo,10,Suporte
suport ped nov mesm informaco consegu atualiz cadastr aparec erro chat notificaco cheg atras,5,Produto
tent faz transferenc carta virtual trav duas vez suport ped nov mesm informaco precis repet algum etap conclu,1,Serviços
precis repet algum etap conclu atualizaca dashboard fic simpl carreg relatori demor tent acompanh pagament dashboard trav duas vez,3,Pós-venda
atualizaca extrat fic simpl consegu atualiz cadastr aparec erro cadastr suport ped nov mesm informaco precis repet algum etap conclu extrat demor respond travan,1,Serviços
carreg relatori demor atend resolv rap solicitaca notificaco cheg atras api demor respond tent integr api trav duas vez travan bug,8,Suporte
consegu integr aparec erro cadastr atend resolv rap solicitaca extrat demor respond receb erro enquant tent integr notificaco cheg atras,1,Produto
precis repet algum etap conclu suport ped nov mesm informaco atualizaca onboarding fic simpl onboarding demor respond carreg relatori demor sitem qdo,5,Pós-venda
notificaco cheg atras pagament demor respond consegu emit bolet aparec erro cadastr travan bug ploblem,8,Suporte
atualizaca limit fic simpl precis repet algum etap conclu consegu emit bolet aparec erro cadastr limit demor respond bug atendimnt,9,Suporte
notificaco cheg atras tent atualiz cadastr notificaco trav duas vez receb erro enquant tent atualiz cadastr consegu atualiz cadastr aparec erro limit sitem vcs qdo,0,Produto
